Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore,ReceivingLeader,ReceivingLeaderScore
New Mexico State,@Louisiana Tech,NMSU,27,LT,24,Hank Bachmeier,238,Star Thomas,88,Kyle Maxwell,68
Liberty,@Western Kentucky,LIB,42,WKU,29,Austin Reed,365,Kaidon Salter,117,Dalvin Smith,79
Jacksonville State,@Florida International,JVST,41,FIU,16,Grayson James,200,Zion Webb,125,Kris Mitchell,109
UTEP,@Sam Houston,UTEP,37,SHSU,34,Cade McConnell,206,Deion Hankins,117,Kelly Akharaiyi,126
Syracuse,@Virginia Tech,VT,38,SYR,10,Kyron Drones,194,Bhayshul Tuten,118,Quan Felton,80
Georgia State,@Georgia Southern,GASO,44,GAST,27,Davis Brin,334,Marcus Carroll,208,Dalen Cobb,100
Florida Atlantic,@Charlotte,FAU,38,CLT,16,Daniel Richardson,218,Terron Kellman,83,LaJohntay Wester,149
1Georgia,@Florida,UGA,43,FLA,20,Carson Beck,315,Daijun Edwards,96,Ladd McConkey,135
3Ohio State,@Wisconsin,OSU,24,WIS,10,Kyle McCord,226,TreVeyon Henderson,162,,
4Florida State,@Wake Forest,FSU,41,WAKE,16,Jordan Travis,359,Justice Ellison,77,Trey Benson,100
5Washington,@Stanford,WASH,42,STAN,33,Dillon Johnson,84,Lynn Polk,148,,
6Oklahoma,@Kansas,KU,38,OU,33,Jason Bean,218,Tawee Walker,146,Lawrence Arnold,79
BYU,@7Texas,TEX,35,BYU,6,Kedon Slovis,197,Jonathon Brooks,98,Darius Lassiter,75
8Oregon,@13Utah,ORE,35,UTAH,6,Bo Nix,248,Bucky Irving,83,Troy Franklin,99
Indiana,@10Penn State,PSU,33,IU,24,Brendan Sorsby,269,Kaytron Allen,81,DeQuece Carter,104
11Oregon State,@Arizona,ARIZ,27,ORST,24,Noah Fifita,275,Damien Martinez,87,Tetairoa McMillan,80
Vanderbilt,@12Ole Miss,MISS,33,VAN,7,Jaxson Dart,240,Quinshon Judkins,124,Dayton Wade,120
Pittsburgh,@14Notre Dame,ND,58,PITT,7,Sam Hartman,288,Audric Estime,114,,
17North Carolina,@Georgia Tech,GT,46,UNC,42,Drake Maye,310,Dontae Smith,178,,
20Duke,@18Louisville,LOU,23,DUKE,0,Riley Leonard,121,Jawhar Jordan,163,Jordan Moore,92
19Air Force,@Colorado State,AFA,30,CSU,13,Nicolosi,297,Emmanuel Michel,130,Simmons,128
21Tennessee,@Kentucky,TENN,33,UK,27,Devin Leary,372,Jaylen Wright,120,Dane Key,113
22Tulane,@Rice,TULN,30,RICE,28,Michael Pratt,263,Makhi Hughes,153,Luke McCaffrey,79
Colorado,@23UCLA,UCLA,28,COLO,16,Ethan Garbers,269,TJ Harden,78,Logan Loya,111
24USC,@California,USC,50,CAL,49,Caleb Williams,369,Jaydn Ott,153,Tahj Washington,102
Old Dominion,@25James Madison,JMU,30,ODU,27,Jordan McCloud,340,Keshawn Wicks,74,Reggie Brown,142
Massachusetts,@Army,MASS,21,ARMY,14,Champ Harris,130,Adams,234,Tobi Olawole,57
UConn,@Boston College,BC,21,CONN,14,Thomas Castellanos,151,Kye Robichaux,112,Jaedn Skeete,61
Maryland,@Northwestern,NU,33,MD,27,Taulia Tagovailoa,274,Brendan Sullivan,56,Jeshaun Jones,78
South Carolina,@Texas A&M,TA,30,SC,17,Max Johnson,249,Mario Anderson,72,Ainias Smith,118
Houston,@Kansas State,KSU,41,HOU,0,Will Howard,164,DJ Giddens,96,Phillip Brooks,83
West Virginia,@UCF,WVU,41,UCF,28,John Rhys Plumlee,274,Kobe Hudson,66,,
Tulsa,@SMU,SMU,69,TLSA,10,Preston Stone,371,Camar Wheaton,80,RJ Maryland,95
Western Michigan,@Eastern Michigan,WMU,45,EMU,21,Austin Smith,231,Jalen Buckley,138,Jaylon Jackson,111
Clemson,@NC State,NCSU,24,CLEM,17,Cade Klubnik,263,Phil Mafah,84,Jake Briningstool,93
Memphis,@North Texas,MEM,45,UNT,42,Chandler Rogers,411,Blake Watson,169,Damon Ward,120
Mississippi State,@Auburn,AUB,27,MSST,13,Payton Thorne,230,Jarquez Hunter,144,Zavion Thomas,112
Michigan State,@Minnesota,MINN,27,MSU,12,Athan Kaliakmanis,200,Jordan Nubin,204,Daniel Jackson,120
Purdue,@Nebraska,NEB,31,PUR,14,Heinrich Haarberg,122,Emmett Johnson,76,Jaylen Lloyd,73
Virginia,@Miami,MIA,29,UVA,26,Tony Muskett,239,Ajay Allen,67,Malik Washington,152
Iowa State,@Baylor,ISU,30,BAY,18,Blake Shapen,239,Eli Sanders,90,Monaray Baldwin,117
East Carolina,@UTSA,UTSA,41,ECU,27,Frank Harris,395,Rocko Griffin,80,Joshua Cephus,183
Southern Miss,@Appalachian State,APP,48,USM,38,Joey Aguilar,391,Christan Horn,165,,
Miami (OH),@Ohio,M,30,OHIO,16,Kurtis Rourke,313,Rashad Amos,163,Sam Wiglusz,79
Arkansas State,@UL Monroe,ARST,34,ULM,24,Blake Murphy,300,Zak Wallace,118,Corey Rucker,160
Louisiana,@South Alabama,UL,33,USA,20,Carter Bradley,381,Jacob Kibodi,119,Jamaal Pritchett,168
Wyoming,@Boise State,BOIS,32,WYO,7,Maddux Madsen,147,George Holani,75,Eric McAlister,160
Marshall,@Coastal Carolina,CCU,34,MRSH,6,Jarrett Guest,289,Rasheen Ali,52,Jared Brown,117
Troy,@Texas State,TROY,31,TXST,13,Gunnar Watson,398,Ismail Mahdi,128,Jabre Barber,160
Washington State,@Arizona State,ASU,38,WSU,27,Cameron Ward,315,Cameron Skattebo,121,Jalin Conyers,90
Cincinnati,@Oklahoma State,OKST,45,CIN,13,Alan Bowman,286,Ollie Gordon II,271,Leon Johnson III,149
New Mexico,@Nevada,NEV,34,UNM,24,Dylan Hopkins,271,Jamaal Bell,76,Jeremiah Hixon,116
UNLV,@Fresno State,FRES,31,UNLV,24,Jayden Maiava,268,Ricky White,152,,
San José State,@Hawai'i,SJSU,35,HAW,0,Chevan Cordeiro,251,Kairee Robinson,146,Nick Nash,86
