Away Team,Home Team,Time,TV,Tickets
Toledo,@Bowling Green,7:00 PM,,Tickets as low as $20
Western Michigan,@Northern Illinois,7:00 PM,,Tickets as low as $6
Akron,@Eastern Michigan,7:00 PM,,Tickets as low as $15
Central Michigan,@Ohio,7:00 PM,,Tickets as low as $5
Buffalo,@Miami (OH),7:00 PM,,Tickets as low as $17
Boston College,@Pittsburgh,7:00 PM,,Tickets as low as $10
South Florida,@UTSA,9:00 PM,,Tickets as low as $6
Colorado,@Washington State,10:30 PM,FS1,Tickets as low as $46
Minnesota,@1Ohio State,TBD,,Tickets as low as $34
2Georgia,@17Tennessee,TBD,,Tickets as low as $208
3Michigan,@Maryland,TBD,,Tickets as low as $71
North Alabama,@4Florida State,TBD,,Tickets as low as $22
5Washington,@16Oregon State,TBD,,Tickets as low as $116
6Oregon,@Arizona State,TBD,,Tickets as low as $23
7Texas,@Iowa State,TBD,,Tickets as low as $24
9Oklahoma,@BYU,TBD,,Tickets as low as $83
UL Monroe,@10Ole Miss,TBD,,Tickets as low as $5
Rutgers,@11Penn State,TBD,,Tickets as low as $18
Florida,@12Missouri,TBD,,Tickets as low as $40
13Louisville,@Miami,TBD,,Tickets as low as $9
Georgia State,@14LSU,TBD,,Tickets as low as $9
18Utah,@Arizona,TBD,,Tickets as low as $14
19UCLA,@20USC,TBD,,Tickets as low as $98
23Kansas State,@21Kansas,TBD,,Tickets as low as $105
22Oklahoma State,@Houston,TBD,,Tickets as low as $4
24Tulane,@Florida Atlantic,TBD,,Tickets as low as $14
Florida International,@Arkansas,TBD,,Tickets as low as $3
New Mexico State,@Auburn,TBD,,Tickets as low as $6
Michigan State,@Indiana,TBD,,Tickets as low as $10
Illinois,@Iowa,TBD,,Tickets as low as $27
Purdue,@Northwestern,TBD,,Tickets as low as $8
Kentucky,@South Carolina,TBD,,Tickets as low as $22
Nebraska,@Wisconsin,TBD,,Tickets as low as $21
California,@Stanford,TBD,,Tickets as low as $55
North Carolina,@Clemson,TBD,,Tickets as low as $21
Duke,@Virginia,TBD,,Tickets as low as $17
Syracuse,@Georgia Tech,TBD,,Tickets as low as $17
NC State,@Virginia Tech,TBD,,Tickets as low as $41
Baylor,@TCU,TBD,,Tickets as low as $18
UCF,@Texas Tech,TBD,,Tickets as low as $10
Cincinnati,@West Virginia,TBD,,Tickets as low as $31
North Texas,@Tulsa,TBD,,Tickets as low as $2
Temple,@UAB,TBD,,Tickets as low as $21
Rice,@Charlotte,TBD,,Tickets as low as $7
SMU,@Memphis,TBD,,Tickets as low as $16
Old Dominion,@Georgia Southern,TBD,,Tickets as low as $14
Appalachian State,@James Madison,TBD,,Tickets as low as $47
Kent State,@Ball State,TBD,,Tickets as low as $17
New Mexico,@Fresno State,TBD,,Tickets as low as $30
Chattanooga,@8Alabama,12:00 PM,,Tickets as low as $8
Coastal Carolina,@Army,12:00 PM,CBSSN,Tickets as low as $20
Southern Miss,@Mississippi State,12:00 PM,,Tickets as low as $5
Abilene Christian,@Texas A&M,12:00 PM,,Tickets as low as $43
Sacred Heart,@UConn,12:00 PM,,Tickets as low as $5
East Carolina,@Navy,12:00 PM,,Tickets as low as $25
Massachusetts,@Liberty,1:00 PM,,Tickets as low as $15
Louisiana Tech,@Jacksonville State,2:00 PM,,Tickets as low as $16
UTEP,@Middle Tennessee,2:00 PM,,Tickets as low as $16
Hawai'i,@Wyoming,2:00 PM,,Tickets as low as $15
Texas State,@Arkansas State,3:00 PM,,Tickets as low as $21
Nevada,@Colorado State,3:00 PM,,Tickets as low as $15
Wake Forest,@15Notre Dame,3:30 PM,NBC,Tickets as low as $42
UNLV,@25Air Force,3:30 PM,CBSSN,Tickets as low as $17
Sam Houston,@Western Kentucky,3:30 PM,,Tickets as low as $7
Louisiana,@Troy,3:30 PM,,Tickets as low as $15
Marshall,@South Alabama,5:00 PM,,Tickets as low as $16
Boise State,@Utah State,7:00 PM,CBSSN,Tickets as low as $29
San Diego State,@San José State,10:30 PM,CBSSN,Tickets as low as $26
