Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore,ReceivingLeader,ReceivingLeaderScore
Northern Illinois,@Central Michigan,CMU,37,NIU,31,Rocky Lombardi,298,Marion Lukes,202,Trayvon Rudolph,170
Buffalo,@Toledo,TOL,31,BUFF,13,Dequan Finn,176,Peny Boone,125,Anthony Torres,84
Ball State,@Bowling Green,BGSU,24,BALL,21,Connor Bazelak,128,Terion Stewart,92,,
Kent State,@Akron,AKR,31,KENT,27,Lorenzo Lingard,106,Chrishon McCray,161,,
TCU,@Texas Tech,TTU,35,TCU,28,Josh Hoover,353,Tahj Brooks,146,Coy Eakin,78
Wake Forest,@Duke,DUKE,24,WAKE,21,Mitch Griffis,241,Demond Claiborne,81,Taylor Morin,92
South Alabama,@Troy,TROY,28,USA,10,Gunnar Watson,271,Kimani Vidal,125,Chris Lewis,120
Boston College,@Syracuse,BC,17,SYR,10,Thomas Castellanos,165,LeQuint Allen,142,Lewis Bond,48
Colorado State,@Wyoming,WYO,24,CSU,15,Nicolosi,220,Harrison Waylee,128,Tory Horton,58
1Ohio State,@Rutgers,OSU,35,RUTG,16,Kyle McCord,189,Kyle Monangai,159,TreVeyon Henderson,80
12Missouri,@2Georgia,UGA,30,MIZ,21,Carson Beck,254,Cody Schrader,112,Ladd McConkey,95
Purdue,@3Michigan,MICH,41,PUR,13,McCarthy,335,Roman Wilson,143,,
4Florida State,@Pittsburgh,FSU,24,PITT,7,Jordan Travis,360,Trey Benson,97,Khi Douglas,115
5Washington,@20USC,WASH,52,USC,42,Caleb Williams,312,Dillon Johnson,256,Tahj Washington,122
California,@6Oregon,ORE,63,CAL,19,Bo Nix,386,Jaydn Ott,93,Tez Johnson,180
23Kansas State,@7Texas,TEX,33,KSU,30,Will Howard,327,Jonathon Brooks,112,Adonai Mitchell,149
14LSU,@8Alabama,ALA,42,LSU,28,Jayden Daniels,219,Jayden Daniels,163,Malik Nabers,171
9Oklahoma,@22Oklahoma State,OKST,27,OU,24,Dillon Gabriel,344,Ollie Gordon II,137,Rashod Owens,136
Texas A&M,@10Ole Miss,MISS,38,TA,35,Jaxson Dart,387,Quinshon Judkins,102,Tre Harris,213
11Penn State,@Maryland,PSU,51,MD,15,Taulia Tagovailoa,286,Kaytron Allen,91,Smith,95
Virginia Tech,@13Louisville,LOU,34,VT,3,Jack Plummer,141,Isaac Guerendo,146,Jadon Thompson,49
15Notre Dame,@Clemson,CLEM,31,ND,23,Sam Hartman,146,Phil Mafah,186,Beaux Collins,37
16Oregon State,@Colorado,ORST,26,COLO,19,Shedeur Sanders,245,Damien Martinez,115,Travis Hunter,98
UConn,@17Tennessee,TENN,59,CONN,3,Joe Milton III,254,Jaylen Wright,113,Squirrel White,94
Arizona State,@18Utah,UTAH,55,ASU,3,Bryson Barnes,161,Quinden Jackson,111,Devaughn Vele,56
19UCLA,@Arizona,ARIZ,27,UCLA,10,Noah Fifita,300,Jonah Coleman,77,Tetairoa McMillan,81
21Kansas,@Iowa State,KU,28,ISU,21,Jason Bean,287,Devin Neal,57,Lawrence Arnold,112
24Tulane,@East Carolina,TULN,13,ECU,10,Michael Pratt,213,Makhi Hughes,105,Lawrence Keys III,77
Army,@25Air Force,ARMY,23,AFA,3,Zac Larrier,93,Bryson Daily,170,Wyatt Wilson,47
Arkansas,@Florida,ARK,39,FLA,36,Graham Mertz,282,Raheim Sanders,103,Andrew Armstrong,103
Wisconsin,@Indiana,IU,20,WIS,14,Braedyn Locke,243,Jackson Acker,48,Bryson Green,96
Nebraska,@Michigan State,MSU,20,NEB,17,Katin Houser,165,Emmett Johnson,57,,
Jacksonville State,@South Carolina,SC,38,JVST,28,Spencer Rattler,399,Ron Wiggins,88,Xavier Legette,217
Campbell,@North Carolina,UNC,59,CAM,7,Drake Maye,244,Omarion Hampton,144,Ezeriah Anderson,102
Kennesaw State,@Sam Houston,SHSU,24,KENN,21,Keegan Shoemaker,242,Michael Benefield,108,Noah Smith,78
Georgia Tech,@Virginia,GT,45,UVA,17,Haynes King,208,Jamal Haynes,119,Malik Washington,109
Navy,@Temple,TEM,32,NAVY,18,Warner,402,Xavier Arline,97,Zae Baines,132
Florida Atlantic,@UAB,UAB,45,FAU,42,Jacob Zeno,484,Kobe Lewis,80,LaJohntay Wester,219
UTSA,@North Texas,UTSA,37,UNT,29,Chandler Rogers,272,Kevorian Barnes,129,Blair Conwright,75
South Florida,@Memphis,MEM,59,USF,50,Byrum Brown,357,Byrum Brown,100,Roc Taylor,159
Louisiana,@Arkansas State,ARST,37,UL,17,Jaylen Raynor,194,Zak Wallace,88,Peter LeBlanc,129
Illinois,@Minnesota,ILL,27,MINN,26,Luke Altmyer,212,Kaden Feagin,89,Isaiah Williams,131
Iowa,@Northwestern,IOWA,10,NU,7,Brendan Sullivan,81,Leshon Williams,79,Bryce Kirtz,33
Merrimack,@Massachusetts,MASS,31,MRMK,21,Taisun Phommachanh,104,George Johnson III,36,,
Houston,@Baylor,HOU,25,BAY,24,Blake Shapen,263,Donovan Smith,66,Samuel Brown,86
UCF,@Cincinnati,UCF,28,CIN,26,Emory Jones,217,RJ Harvey,164,Braden Smith,114
James Madison,@Georgia State,JMU,42,GAST,14,Jordan McCloud,307,Jordan McCloud,104,Elijah Sarratt,87
Coastal Carolina,@Old Dominion,CCU,28,ODU,24,Ethan Vasko,180,Ethan Vasko,170,Sam Pinckney,69
Auburn,@Vanderbilt,AUB,31,VAN,15,Payton Thorne,194,Jarquez Hunter,183,Rivaldo Fairweather,62
Charlotte,@Tulsa,CLT,33,TLSA,26,Trexler Ivey,277,Anthony Watkins,146,Jairus Mack,124
UL Monroe,@Southern Miss,USM,24,ULM,7,Billy Wiles,200,Dariyan Wiley,137,,
Hawai'i,@Nevada,HAW,27,NEV,14,Brayden Schager,203,Landon Sims,65,Dalevon Campbell,88
Georgia Southern,@Texas State,TXST,45,GASO,24,TJ Finley,301,Jalen White,159,Joey Hobert,141
Louisiana Tech,@Liberty,LIB,56,LT,30,Hank Bachmeier,304,Quinton Cooley,179,Noah Frith,96
Middle Tennessee,@New Mexico State,NMSU,13,MTSU,7,Diego Pavia,220,Nicholas Vattiato,96,Eli Stowers,83
Marshall,@Appalachian State,APP,31,MRSH,9,Joey Aguilar,226,Rasheen Ali,79,Kaedin Robinson,55
UNLV,@New Mexico,UNLV,56,UNM,14,Jayden Maiava,247,Merritt,86,Ricky White,165
BYU,@West Virginia,WVU,37,BYU,7,Jake Retzlaff,210,Jahiem White,146,Parker Kingston,57
Utah State,@San Diego State,USU,32,SDSU,24,Jalen Mayden,265,Lucky Sutton,86,Terrell Vaughn,91
Kentucky,@Mississippi State,UK,24,MSST,3,Devin Leary,156,Ray Davis,80,Tayvion Robinson,91
SMU,@Rice,SMU,36,RICE,31,Preston Stone,217,Preston Stone,81,Jake Bailey,73
Miami,@NC State,NCSU,20,MIA,6,Tyler Van Dyke,173,Kevin Concepcion,61,,
Western Kentucky,@UTEP,WKU,21,UTEP,13,Cade McConnell,214,Elijah Young,139,Kelly Akharaiyi,141
Stanford,@Washington State,STAN,10,WSU,7,Cameron Ward,241,Justin Lamson,54,Josh Kelly,82
Boise State,@Fresno State,FRES,37,BOIS,30,Mikey Keene,290,Malik Sherrod,132,Mac Dalena,85
