Player,School,POS,REC,YDS,AVG,LNG,TD
Jermaine Burton,ALA,WR,26,537,20.7,54,5
Jaylin Noel,ISU,WR,52,536,10.3,66,4
J.J. Jones,UNC,WR,33,536,16.2,57,1
Jimmy Horn Jr.,COLO,WR,54,536,9.9,45,6
Chris Lewis,TROY,WR,22,535,24.3,64,7
Jacob Cowing,ARIZ,WR,72,534,7.4,30,10
Travis Hunter,COLO,CB,45,532,11.8,47,3
Rashod Owens,OKST,WR,43,530,12.3,45,1
Deion Burks,PUR,WR,36,529,14.7,84,7
Jahmal Banks,WAKE,WR,47,528,11.2,33,3
Konata Mumpfield,PITT,WR,40,527,13.2,82,5
Kole Wilson,TXST,WR,45,527,11.7,77,5
Bryce Kirtz,NU,WR,36,526,14.6,80,4
Donaven McCulley,IU,WR,40,524,13.1,69,5
Chase Roberts,BYU,WR,39,524,13.4,59,4
Kaden Prather,MD,WR,37,523,14.1,43,5
Ashtyn Hawkins,TXST,WR,39,523,13.4,43,2
Sam Wiglusz,OHIO,WR,44,519,11.8,38,3
Jalon Calhoun,DUKE,WR,37,519,14.0,69,2
Jakarius Caston,USM,WR,30,518,17.3,80,5
Tyrone Howell,ULM,WR,44,516,11.7,46,7
Pat Bryant,ILL,WR,36,515,14.3,46,6
Beaux Collins,CLEM,WR,38,510,13.4,69,3
Cade Stover,OSU,TE,34,508,14.9,49,4
Bryson Nesbit,UNC,TE,36,508,14.1,62,5
Evan Stewart,TA&M,WR,37,506,13.7,44,4
Courtney Jackson,ARST,WR,27,503,18.6,60,6
Jerjuan Newton,TOL,WR,36,502,13.9,42,9
Logan Loya,UCLA,WR,40,502,12.6,49,4
Ben Sinnott,KSU,TE,35,501,14.3,42,4
Lewis Bond,BC,WR,37,500,13.5,42,5
Colbie Young,MIA,WR,38,499,13.1,57,4
Johnny Wilson,FSU,WR,30,497,16.6,44,2
Kamdyn Benjamin,TLSA,WR,33,491,14.9,51,4
Dalevon Campbell,NEV,WR,24,490,20.4,53,2
Jonathan Brady,NMSU,WR,29,489,16.9,80,3
Devaughn Vele,UTAH,WR,34,482,14.2,68,2
Devin Carter,WVU,WR,26,481,18.5,49,2
Tykee Ogle-Kellogg,UTSA,WR,28,481,17.2,46,6
Latreal Jones,USM,WR,34,480,14.1,43,3
Eugene Wilson III,FLA,WR,51,479,9.4,30,5
Amad Anderson Jr.,TEM,WR,30,478,15.9,74,1
Dane Key,UK,WR,32,477,14.9,44,4
Dominic Lovett,UGA,WR,43,475,11.0,55,2
Savion Williams,TCU,WR,36,474,13.2,42,4
Chris Brazzell II,TULN,WR,29,474,16.3,39,2
