Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Julius Wood,ECU,DB,37,36,73,0.0,11,1,2,29,0,0
Isaiah Tufaga,HAW,LB,39,33,72,2.5,0,0,0,0,0,2
Nick Ross,APP,S,33,39,72,1.5,0,3,1,0,0,0
Charles Willekes,ARST,LB,26,46,72,1.0,7,1,0,0,0,1
Mason Cobb,USC,LB,40,32,72,0.0,3,1,0,0,0,0
Keli Lawson,VT,LB,34,38,72,1.5,13,4,1,4,0,1
Jordan Brown,UNT,LB,38,34,72,3.0,30,0,0,0,0,0
Javante Mackey,ARST,LB,46,26,72,2.0,2,0,0,0,0,0
Sam Brumfield,MTSU,LB,41,31,72,3.5,5,0,0,0,0,2
Joe Andreessen,BUFF,LB,44,27,71,1.0,9,1,0,0,0,1
Lee Kpogba,WVU,LB,34,37,71,2.0,8,1,0,0,0,1
Nikhai Hill-Green,CLT,LB,48,23,71,2.0,28,3,0,0,0,1
Jeremiah Trotter Jr.,CLEM,LB,44,27,71,4.5,28,4,2,28,1,2
Trey Rucker,OKST,S,43,28,71,0.0,9,0,0,0,0,0
TJ Quinn,LOU,LB,25,46,71,0.5,4,2,1,15,0,0
Tywan Francis,TEM,S,51,19,70,0.0,15,5,2,2,0,0
Kenny Logan Jr.,KU,S,46,24,70,0.0,0,4,1,30,1,1
Sanoussi Kane,PUR,DB,49,21,70,1.0,17,6,0,0,0,1
Edgerrin Cooper,TA&M,LB,34,36,70,7.0,20,1,0,0,0,2
Shawn Asbury II,ODU,S,31,39,70,0.0,0,3,1,46,0,0
Quentin Wilfawn,USA,LB,39,31,70,4.5,12,1,0,0,0,1
Michael Batton,ULM,LB,24,46,70,0.5,0,0,0,0,0,0
Dominique Hampton,WASH,CB,42,27,69,0.0,15,3,2,0,0,0
Keionte Newson,BALL,LB,39,30,69,1.5,8,2,0,0,0,1
Jacob Roberts,WAKE,LB,29,40,69,6.0,0,0,0,0,0,1
Brevin Randle,LT,LB,32,37,69,2.0,16,2,0,0,0,0
Jalon Kilgore,SC,DB,42,27,69,0.0,8,5,1,0,0,0
Jarron Morris,FAU,DB,35,33,68,0.0,21,5,3,72,1,2
Justin Barron,SYR,DB,42,26,68,0.5,0,6,1,5,0,3
Mohamed Toure,RUTG,LB,33,35,68,2.5,14,2,1,5,0,1
Javon McIntyre,PITT,DB,36,32,68,0.0,18,5,0,0,0,0
James Jackson,UVA,LB,28,40,68,1.0,1,3,1,0,0,0
Ty Wise,M-OH,LB,35,33,68,7.0,0,4,1,14,0,0
Leo Lowin,ARMY,LB,36,32,68,3.0,15,1,0,0,0,4
Jhalyn Shuler,USF,LB,34,34,68,2.0,0,4,0,0,0,1
Malik Robinson,HOU,LB,32,35,67,0.0,0,1,1,3,0,0
Quae Drake,JVST,LB,33,34,67,1.0,49,2,1,0,0,0
Cole Pearce,BALL,LB,40,27,67,3.0,0,2,0,0,0,2
Craig Woodson,CAL,DB,41,26,67,0.0,0,2,0,0,0,2
Isaac Gifford,NEB,DB,33,34,67,0.5,15,7,1,3,0,0
Greg Penn III,LSU,LB,27,40,67,2.0,43,1,1,0,0,0
Trevian Thomas,ARST,S,43,24,67,0.0,0,3,1,0,0,1
Tahj Ra-El,ODU,S,29,38,67,0.0,0,6,0,0,0,0
John Pupel,BC,DB,47,19,66,0.0,5,0,0,0,0,1
Shawn Holton,TXST,S,47,19,66,0.0,0,1,1,0,0,4
Major Burns,LSU,S,31,35,66,1.0,0,3,1,17,1,0
Patrick McMorris,CAL,DB,35,31,66,1.0,17,6,1,0,0,2
Langston Patterson,VAN,LB,34,32,66,1.0,11,0,1,22,0,1
Jackson Ambush,FAU,LB,33,33,66,1.0,60,0,1,0,0,0
Gaethan Bernadel,STAN,LB,36,30,66,0.0,3,1,0,0,0,0
Wyett Ekeler,WYO,S,42,24,66,2.0,0,5,1,10,0,2
Johnathan Youngblood,AFA,LB,32,34,66,0.0,6,0,1,8,0,0
James Neal,UTEP,LB,23,43,66,1.0,0,2,1,30,0,1
Sam Lockett III,WSU,DB,35,30,65,0.5,7,1,2,25,0,1
Edefuan Ulofoshio,WASH,LB,45,20,65,2.0,61,1,1,45,1,1
Darren Anders,BGSU,LB,31,34,65,4.5,40,1,0,0,0,2
Jaylen Stinson,DUKE,S,29,36,65,1.0,0,5,1,12,0,0
Plae Wyatt,RICE,S,36,29,65,1.0,3,6,0,0,0,1
Will Harbour,NAVY,LB,34,31,65,3.0,0,0,0,0,0,1
Dylan Lawrence,USM,S,34,31,65,1.0,0,1,0,0,0,0
Durante Jones,CONN,DB,39,26,65,1.0,0,1,0,0,0,0
Matt Jones,BAY,LB,44,21,65,3.0,35,4,0,0,0,0
Dylan Hazen,WAKE,LB,27,38,65,1.0,0,0,0,0,0,0
Henry Blackburn,CSU,DB,32,33,65,2.5,19,0,2,0,0,0
Louis Moore,IU,DB,46,19,65,0.0,2,1,3,49,1,3
Eli Neal,MRSH,LB,20,44,64,2.0,0,0,1,6,0,0
AJ Vongphachanh,BYU,LB,26,38,64,0.0,109,0,0,0,0,0
Deshawn Pace,CIN,S,32,32,64,1.5,3,5,1,25,0,1
Jaylon Scott,NCSU,LB,23,41,64,2.0,0,3,0,0,0,1
Tra Fluellen,MTSU,S,41,23,64,0.0,7,3,3,27,0,0
Trey Washington,MISS,S,32,32,64,0.0,24,2,2,35,0,1
Trey Taylor,AFA,S,35,29,64,0.5,11,3,2,51,1,0
Elijah Herring,TENN,LB,24,40,64,0.0,2,0,0,0,0,0
Joseph Sipp Jr.,BGSU,LB,35,29,64,0.0,9,0,0,0,0,0
DQ Smith,SC,DB,32,32,64,0.5,5,1,1,16,0,1
Devin Dye,USU,S,32,32,64,0.0,7,6,2,14,0,1
Andre' Sam,LSU,S,36,27,63,0.0,0,2,3,60,0,0
Cecil Singleton Jr.,LT,DB,33,30,63,0.0,0,0,1,0,0,1
Clayton Isbell,CCU,S,39,24,63,1.0,9,5,3,29,0,0
Myron Morrison,RICE,LB,28,35,63,1.0,2,0,0,0,0,1
JD Bertrand,ND,LB,33,30,63,1.5,1,4,0,0,0,0
Chris Edmonds,ASU,DB,34,29,63,0.0,3,2,0,0,0,0
Jaden Hicks,WSU,DB,41,22,63,1.5,18,4,1,37,1,1
D'Verik Daniel,FIU,DB,43,20,63,0.0,0,2,1,17,0,0
Michael Moore,UAB,DL,33,30,63,1.0,29,1,0,0,0,1
Dean Clark,FRES,DB,33,29,62,0.0,19,2,1,4,0,0
Evan Williams,ORE,DB,36,26,62,4.5,0,1,0,0,0,1
Desmond Tisdol,FAU,LB,33,29,62,2.5,8,1,0,0,0,0
TyGee Leach,GAST,S,36,26,62,0.0,0,4,1,0,0,0
Kaleb Culp,TXST,S,40,22,62,0.0,8,5,0,0,0,0
Chris Paul Jr.,ARK,LB,23,39,62,2.0,0,1,0,0,0,0
Jake Chaney,WIS,LB,39,23,62,3.0,0,0,0,0,0,0
Aaron Wofford,WMU,CB,38,24,62,0.0,0,4,2,-1,0,1
Zyrus Fiaseu,SDSU,LB,30,32,62,5.5,16,3,0,0,0,4
Dylan Rosiek,ILL,LB,38,24,62,1.0,4,2,0,0,0,3
Jamoi Hodge,TCU,LB,29,33,62,2.5,13,1,0,0,0,0
K.C. Ossai,UL,LB,34,28,62,1.0,0,0,0,0,0,2
Darrian Lewis,AKR,CB,36,26,62,0.5,16,1,0,0,0,1
Malik Spencer,MSU,DB,33,29,62,0.0,0,6,0,0,0,0
Daniel Bolden,TOL,LB,24,37,61,0.5,35,1,0,0,0,0
James Miller,USA,LB,23,38,61,0.0,0,0,0,0,0,0
Geoffrey Cantin-Arku,MEM,LB,29,32,61,1.0,8,1,1,17,0,2
D'Eryk Jackson,UK,LB,35,26,61,1.0,0,2,2,28,1,0
Justin Abraham,GAST,LB,40,21,61,1.0,15,1,0,0,0,1
Trey Jones,CMU,DB,34,27,61,0.0,0,2,1,0,0,1
Jasper Williams,UL,LB,34,27,61,2.0,10,0,0,0,0,0
Malik Mustapha,WAKE,DB,31,30,61,0.5,0,2,1,50,0,1
Devyn Bobby,BAY,S,43,18,61,0.0,33,3,1,0,0,1
Kavian Gaither,SHSU,LB,36,25,61,1.0,28,1,1,45,1,2
Melique Straker,ARST,LB,29,32,61,0.0,0,0,1,6,0,0
Bryce Sheppert,KENT,S,43,18,61,0.0,0,6,1,0,0,0
Max Harris,ULM,LB,23,38,61,0.0,5,2,1,-2,0,1
Coen King,UVA,S,47,13,60,0.0,15,5,0,0,0,2
Kolbi Fuqua,JVST,DB,33,27,60,2.5,0,1,1,1,0,1
Levani Damuni,UTAH,LB,29,31,60,0.0,2,0,0,0,0,0
Kendre' Gant,UL,LB,34,26,60,6.0,0,2,0,0,0,3
Tate Hallock,WMU,S,36,24,60,0.0,30,4,2,8,0,1
Darius McClendon,FAU,CB,38,22,60,0.0,4,2,0,0,0,2
James Williams,MIA,S,38,22,60,0.0,0,3,1,44,0,1
Collin Oliver,OKST,LB,34,26,60,5.0,46,5,0,0,0,4
Devin Grant,BUFF,S,39,21,60,0.0,0,3,5,87,2,1
Trey Kiser,USA,LB,27,33,60,3.5,0,2,0,0,0,1
Fred Perry,JVST,S,42,18,60,0.0,46,3,1,18,0,3
Jeremiah Johnson,GAST,S,48,12,60,1.0,28,0,2,24,0,1
Kalen DeLoach,FSU,LB,30,29,59,7.0,0,1,0,0,0,2
Darius Muasau,UCLA,LB,33,26,59,4.0,3,3,1,0,0,0
Ethan Slade,BYU,S,36,23,59,0.0,0,3,1,22,0,0
Calen Bullock,USC,S,40,19,59,0.0,0,6,2,30,1,0
Anthony Wilson,WVU,S,42,17,59,0.0,0,3,1,0,0,0
Micheal Mason,CCU,DL,22,37,59,4.5,6,1,0,0,0,1
Jordan Vincent,NMSU,S,26,33,59,2.0,0,3,0,0,0,0
Patrick Smith,UNT,S,38,21,59,0.0,41,0,0,0,0,1
Jayden McDonald,TROY,LB,35,23,58,0.5,0,1,0,0,0,1
Devin Richardson,WSU,LB,29,29,58,1.0,13,0,0,0,0,1
Akili Arnold,ORST,DB,24,34,58,0.5,0,6,2,13,0,0
Levelle Bailey,FRES,LB,35,23,58,0.0,0,4,2,0,0,2
Yvandy Rigby,TEM,LB,29,29,58,0.0,0,0,0,0,0,0
