Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore,ReceivingLeader,ReceivingLeaderScore
Middle Tennessee,@Western Kentucky,WKU,31,MTSU,10,Austin Reed,297,Sanders,83,Malachi Corley,81
Temple,@Tulsa,TLSA,48,TEM,26,Warner,269,Cardell Williams,90,Marquis Shoulders,76
Jacksonville State,@Sam Houston,JVST,35,SHSU,28,Keegan Shoemaker,285,Malik Jackson,129,Noah Smith,97
10Utah,@19Oregon State,ORST,21,UTAH,7,DJ Uiagalelei,204,Damien Martinez,65,Silas Bolden,100
Louisville,@NC State,LOU,13,NCSU,10,Jack Plummer,286,Brennan Armstrong,61,Chris Bell,85
Louisiana Tech,@UTEP,LT,24,UTEP,10,Jack Turner,152,Tyre Shelton,104,Cyrus Allen,85
Cincinnati,@BYU,BYU,35,CIN,27,Emory Jones,256,Emory Jones,94,Chase Roberts,131
1Georgia,@Auburn,UGA,27,AUB,20,Carson Beck,313,Payton Thorne,92,Brock Bowers,157
2Michigan,@Nebraska,MICH,45,NEB,7,Heinrich Haarberg,199,Joshua Fleeks,74,Billy Kemp IV,61
24Kansas,@3Texas,TEX,40,KU,14,Quinn Ewers,325,Jonathon Brooks,218,Adonai Mitchell,141
6Penn State,@Northwestern,PSU,41,NU,13,Drew Allar,189,Nicholas Singleton,80,Smith,86
7Washington,@Arizona,WASH,31,ARIZ,24,Dillon Johnson,91,Germie Bernard,98,,
8USC,@Colorado,USC,48,COLO,41,Caleb Williams,403,MarShawn Lloyd,84,Omarion Miller,196
9Oregon,@Stanford,ORE,42,STAN,6,Bo Nix,290,Bucky Irving,88,Troy Franklin,117
11Notre Dame,@17Duke,ND,21,DUKE,14,Sam Hartman,222,Riley Leonard,88,Mitchell Evans,134
12Alabama,@Mississippi State,ALA,40,MSST,17,Jalen Milroe,164,Jalen Milroe,69,Amari Niblack,61
13LSU,@20Ole Miss,MISS,55,LSU,49,Jayden Daniels,414,Quinshon Judkins,177,Tre Harris,153
Iowa State,@14Oklahoma,OU,50,ISU,20,Dillon Gabriel,366,Abu Sama III,67,Jayden Higgins,91
South Carolina,@21Tennessee,TENN,41,SC,20,Joe Milton III,239,Jaylen Wright,123,Squirrel White,104
22Florida,@Kentucky,UK,33,FLA,14,Graham Mertz,244,Ray Davis,280,Ricky Pearsall,62
23Missouri,@Vanderbilt,MIZ,38,VAN,21,Brady Cook,395,Nathaniel Peat,71,Luther Burden III,140
Nevada,@25Fresno State,FRES,27,NEV,9,Mikey Keene,269,Malik Sherrod,123,Jaelen Gill,126
Texas A&M,@Arkansas,TA,34,ARK,22,Max Johnson,210,Veon Moss,107,Andrew Armstrong,78
Louisiana,@Minnesota,MINN,35,UL,24,Zeon Chriss,172,Zach Evans,85,Daniel Jackson,89
Utah State,@UConn,USU,34,CONN,33,Quan Roberson,255,Victor Rosa,92,Jalen Royals,185
Clemson,@Syracuse,CLEM,31,SYR,14,Cade Klubnik,263,Will Shipley,61,Tyler Brown,153
UAB,@Tulane,TULN,35,UAB,23,Jacob Zeno,236,Makhi Hughes,123,Amare Thomas,99
South Alabama,@James Madison,JMU,31,USA,23,Carter Bradley,299,Jordan McCloud,61,Caullin Lacy,132
Buffalo,@Akron,BUFF,13,AKR,10,Cole Snyder,142,DJ Irons,77,Chance Morrow,45
Eastern Michigan,@Central Michigan,CMU,26,EMU,23,Jase Bauer,218,Myles Bailey,92,Tanner Knue,68
Virginia,@Boston College,BC,27,UVA,24,Tony Muskett,247,Pat Garwo III,87,Lewis Bond,104
Miami (OH),@Kent State,M,23,KENT,3,Brett Gabbert,216,Rashad Amos,54,,
Arizona State,@California,CAL,24,ASU,21,Trenton Bourguet,344,Jaydn Ott,165,Cameron Skattebo,98
Indiana,@Maryland,MD,44,IU,17,Taulia Tagovailoa,352,Christian Turner,61,Tai Felton,134
Illinois,@Purdue,PUR,44,ILL,19,Hudson Card,217,Isaiah Williams,113,,
Wagner,@Rutgers,RUTG,52,WAG,3,Gavin Wimsatt,146,Kyle Monangai,87,JaQuae Jackson,71
Bowling Green,@Georgia Tech,BGSU,38,GT,27,Haynes King,348,Terion Stewart,138,Dominick Blaylock,131
Houston,@Texas Tech,TTU,49,HOU,28,Donovan Smith,336,Ron Valdez,111,Samuel Brown,113
Baylor,@UCF,BAY,36,UCF,35,Blake Shapen,293,Johnny Richardson,105,Monaray Baldwin,150
Arkansas State,@Massachusetts,ARST,52,MASS,28,Jaylen Raynor,383,Adam Jones,105,,
South Florida,@Navy,USF,44,NAVY,30,Byrum Brown,338,Alex Tecza,82,Sean Atkins,116
Old Dominion,@Marshall,MRSH,41,ODU,35,Cam Fancher,278,Kadarius Calloway,236,Caleb Coombs,76
Ball State,@Western Michigan,WMU,42,BALL,24,Treyson Bourguet,328,Marquez Cooper,82,Qian Magwood,110
Northern Illinois,@Toledo,TOL,35,NIU,33,Dequan Finn,281,Antario Brown,152,Junior Vandeross III,147
Boise State,@Memphis,MEM,35,BOIS,32,Seth Henigan,269,Blake Watson,113,Roc Taylor,102
Hawai'i,@UNLV,UNLV,44,HAW,20,Brayden Schager,313,Donavyn Lester,98,Steven McBride,180
New Mexico,@Wyoming,WYO,35,UNM,26,Andrew Peasley,194,Harrison Waylee,191,Ayir Asante,72
East Carolina,@Rice,RICE,24,ECU,17,Alex Flinn,246,Javious Bond,72,Chase Sowell,88
Abilene Christian,@North Texas,UNT,45,ACU,31,Chandler Rogers,321,Veon Sunday,140,Mori Maclin,110
Coastal Carolina,@Georgia Southern,GASO,38,CCU,28,Davis Brin,322,Braydon Bennett,114,Sam Pinckney,132
Troy,@Georgia State,TROY,28,GAST,7,Gunnar Watson,256,Kimani Vidal,76,Jabre Barber,121
Texas State,@Southern Miss,TXST,50,USM,36,TJ Finley,338,Joey Hobert,126,,
Utah Tech,@Colorado State,CSU,41,UTU,20,Nicolosi,462,Tory Horton,227,,
Michigan State,@Iowa,IOWA,26,MSU,16,Noah Kim,193,Nathan Carter,108,,
Charlotte,@SMU,SMU,34,CLT,16,Preston Stone,135,Jaylan Knighton,150,Jack Hestera,81
Pittsburgh,@Virginia Tech,VT,38,PITT,21,Phil Jurkovec,235,Bhayshul Tuten,109,Quan Felton,81
West Virginia,@TCU,WVU,24,TCU,21,Chandler Morris,298,Garrett Greene,80,JP Richardson,87
Appalachian State,@UL Monroe,APP,41,ULM,40,Joey Aguilar,335,Nate Noel,109,Christan Horn,124
San Diego State,@Air Force,AFA,49,SDSU,10,Zac Larrier,189,Zac Larrier,103,Cade Harris,82
