Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore,ReceivingLeader,ReceivingLeaderScore
South Alabama,@24Tulane,TULN,37,USA,17,Michael Pratt,294,Makhi Hughes,41,Quan Jackson,106
Utah State,@25Iowa,IOWA,24,USU,14,Cooper Legas,213,Kaleb Johnson,63,Terrell Vaughn,93
Ball State,@Kentucky,UK,44,BALL,14,Devin Leary,241,Ray Davis,112,Dane Key,96
Bowling Green,@Liberty,LIB,34,BGSU,24,Kaidon Salter,143,Kaidon Salter,82,Odieu Hiliare,59
Fresno State,@Purdue,FRES,39,PUR,35,Mikey Keene,366,Elijah Gilliam,93,Erik Brooks,170
Louisiana Tech,@SMU,SMU,38,LT,14,Preston Stone,248,Jordan Hudson,72,,
Northern Illinois,@Boston College,NIU,27,BC,24,Rocky Lombardi,165,Thomas Castellanos,67,Kacper Rutkiewicz,46
Long Island University,@Ohio,OHIO,27,LIU,10,Luca Stanzani,172,Sieh Bangura,107,Quincy McDuffie,43
Western Carolina,@Arkansas,ARK,56,WCU,13,KJ Jefferson,246,Raheim Sanders,42,Jaedon Wilson,83
Robert Morris,@Air Force,AFA,42,RMU,7,Anthony Chiccitt,99,Zac Larrier,99,Jared Roznos,95
East Tennessee State,@Jacksonville State,JVST,49,ETSU,3,Logan Smothers,127,Malik Jackson,100,Xavier Gaillardetz,69
Northern Iowa,@Iowa State,ISU,30,UNI,9,Theo Day,164,Tyjahree Edwards,72,Logan Wolf,40
Akron,@Temple,TEM,24,AKR,21,Warner,292,Drake Anderson,40,Lorenzo Lingard,77
Massachusetts,@Auburn,AUB,59,MASS,14,Payton Thorne,141,Adams,101,Anthony Simpson,89
Towson,@Maryland,MD,38,TOW,6,Taulia Tagovailoa,260,Roman Hemby,58,Corey Dyches,108
South Florida,@Western Kentucky,WKU,41,USF,24,Austin Reed,336,Byrum Brown,160,Dalvin Smith,97
Wofford,@Pittsburgh,PITT,45,WOF,7,Phil Jurkovec,214,Daniel Carter,65,Tyler Parker,75
Eastern Kentucky,@Cincinnati,CIN,66,EKU,13,Emory Jones,345,Corey Kiner,105,Xzavier Henderson,149
Gardner-Webb,@Appalachian State,APP,45,GWEB,24,Matthew Caldwell,231,Nate Noel,115,Jayden Brown,67
SE Louisiana,@Mississippi State,MSST,48,SELA,7,Will Rogers,227,Quavious Marks,127,Creed Whittemore,59
California,@North Texas,CAL,58,UNT,21,Ben Finley,289,Jaydn Ott,188,Mori Maclin,122
Colgate,@Syracuse,SYR,65,COLG,0,Garrett Shrader,257,LeQuint Allen,107,Umari Hatcher,105
Bryant,@UNLV,UNLV,44,BRY,14,Zevi Eckhaus,230,Zevi Eckhaus,89,Landon Ruggieri,109
South Carolina State,@Charlotte,CLT,24,SCST,3,Jalon Jones,125,Durell Robinson,71,Bryce Kennon,46
Monmouth,@Florida Atlantic,FAU,42,MONM,20,Casey Thompson,280,Larry McCammon,125,Tony Johnson,91
The Citadel,@Georgia Southern,GASO,34,CIT,0,Davis Brin,244,Jalen White,125,,
Bucknell,@James Madison,JMU,38,BUCK,3,Jordan McCloud,144,Kaelon Black,125,Reggie Brown,77
UAlbany,@Marshall,MRSH,21,ALB,17,Cam Fancher,268,Rasheen Ali,137,Chuck Montgomery,81
Maine,@Florida International,FIU,14,ME,12,Keyone Jenkins,292,Tristen Kenan,108,Kris Mitchell,201
Army,@UL Monroe,ULM,17,ARMY,13,Bryson Daily,121,Hunter Smith,103,Tyrone Howell,67
Alabama A&M,@Vanderbilt,VAN,47,AAMU,13,AJ Swann,194,Sedrick Alexander,87,Terrell Gardner,83
Washington State,@Colorado State,WSU,50,CSU,24,Cameron Ward,451,Cameron Ward,40,Lincoln Victor,168
Texas State,@Baylor,TXST,42,BAY,31,Blake Shapen,303,Ismail Mahdi,83,Joey Hobert,105
UTSA,@Houston,HOU,17,UTSA,14,Donovan Smith,233,Kevorian Barnes,103,Joshua Cephus,123
Central Arkansas,@Oklahoma State,OKST,27,CARK,13,Will McElvain,268,ShunDerrick Powell,71,Jarrod Barnes,94
Bethune-Cookman,@Memphis,MEM,56,BCU,14,Seth Henigan,334,Sutton Smith,115,Demeer Blankumsee,98
Alcorn State,@Southern Miss,USM,40,ALCN,14,Billy Wiles,267,Tyler Macon,83,Jakarius Caston,104
Stephen F. Austin,@Troy,TROY,48,SFA,30,Gunnar Watson,198,Kimani Vidal,248,Kimani Vidal,54
Toledo,@Illinois,ILL,30,TOL,28,Dequan Finn,230,Jacquez Stuart,82,Junior Vandeross III,80
Old Dominion,@Virginia Tech,VT,36,ODU,17,Grant Wells,251,Grant Wilson,81,Ali Jennings,72
Northwestern State,@Louisiana,UL,38,NWST,13,Ben Wooldridge,223,lyn Washington,88,Peter LeBlanc,58
Texas Tech,@Wyoming,WYO,35,TTU,33,Tyler Shough,338,Andrew Peasley,68,Jerand Bradley,88
Western Illinois,@New Mexico State,NMSU,58,WIU,21,Diego Pavia,317,Star Thomas,96,Jonathan Brady,102
Incarnate Word,@UTEP,UTEP,28,UIW,14,Zach Calzada,245,Deion Hankins,174,Brandon Porter,94
Northern Arizona,@Arizona,ARIZ,38,NAU,3,Jayden de Laura,285,TJ McDaniel,56,Coleman Owen,90
Sam Houston,@BYU,BYU,14,SHSU,0,Keegan Shoemaker,147,LJ Martin,91,Noah Smith,44
Coastal Carolina,@UCLA,UCLA,27,CCU,13,Grayson McCall,271,Carson Steele,76,Sam Pinckney,139
Idaho State,@San Diego State,SDSU,36,IDST,28,Jordan Cooke,177,Jalen Mayden,132,Christian Fredericksen,66
5LSU,@8Florida State,FSU,45,LSU,24,Jayden Daniels,346,Jayden Daniels,64,,
18Oregon State,@San José State,ORST,42,SJSU,17,DJ Uiagalelei,239,Damien Martinez,145,Sam Olson,60
Northwestern,@Rutgers,RUTG,24,NU,7,Ben Bryant,169,Kyle Monangai,49,Cam Johnson,45
9Clemson,@Duke,DUKE,28,CLEM,7,Cade Klubnik,209,Will Shipley,114,Antonio Williams,56
