Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore,ReceivingLeader,ReceivingLeaderScore
San José State,@6USC,USC,56,SJSU,28,Caleb Williams,278,Quali Conley,108,Nick Nash,89
Navy,@13Notre Dame,ND,42,NAVY,3,Sam Hartman,251,Audric Estime,95,Jaden Greathouse,68
UTEP,@Jacksonville State,JVST,17,UTEP,14,Gavin Hardison,208,Malik Jackson,76,Kelly Akharaiyi,102
Massachusetts,@New Mexico State,MASS,41,NMSU,30,Diego Pavia,248,Taisun Phommachanh,96,Christian Wells,68
Ohio,@San Diego State,SDSU,20,OHIO,13,CJ Harris,204,Jaylon Armstead,78,Sam Wiglusz,103
Florida International,@Louisiana Tech,LT,22,FIU,17,Hank Bachmeier,333,Shomari Lawrence,139,Smoke Harris,155
Hawai'i,@Vanderbilt,VAN,35,HAW,28,Brayden Schager,351,Landon Sims,38,Pofele Ashlock,127
Florida,@14Utah,UTAH,24,FLA,11,Graham Mertz,333,Nate Johnson,45,Ricky Pearsall,92
Elon,@Wake Forest,WAKE,37,ELON,17,Mitch Griffis,329,Jalen Hampton,89,Jahmal Banks,108
Kent State,@UCF,UCF,56,KENT,6,John Rhys Plumlee,281,Johnny Richardson,100,Xavier Townsend,81
Rhode Island,@Georgia State,GAST,42,URI,35,Kasim Hill,408,Marcus Carroll,184,Marquis Buchanan,101
St. Francis (PA),@Western Michigan,WMU,35,SFPA,17,Cole Doyle,230,Jalen Buckley,194,Dawson Snyder,87
NC State,@UConn,NCSU,24,CONN,14,Brennan Armstrong,155,Victor Rosa,99,Justin Joly,38
Nebraska,@Minnesota,MINN,13,NEB,10,Athan Kaliakmanis,196,Jeff Sims,91,Daniel Jackson,68
South Dakota,@Missouri,MIZ,35,SDAK,10,Brady Cook,172,Cody Schrader,138,Luther Burden III,96
Arkansas-Pine Bluff,@Tulsa,TLSA,42,UAPB,7,Cardell Williams,233,Jordan Ford,110,Marquis Shoulders,132
North Carolina A&T,@UAB,UAB,35,NCAT,6,Jacob Zeno,291,Wesley Graves,58,Fred Farrier II,54
Southern Utah,@Arizona State,ASU,24,SUU,21,Jaden Rashada,236,Cameron Skattebo,71,Xavier Guillory,73
Howard,@Eastern Michigan,EMU,33,HOW,23,Quinton Williams,194,Eden James,96,Jamarr Ebron,79
Central Michigan,@Michigan State,MSU,31,CMU,7,Noah Kim,279,Nathan Carter,113,Jaron Glover,75
Miami (OH),@Miami,MIA,38,M,3,Tyler Van Dyke,201,Gage Larvadain,80,,
Louisville,@Georgia Tech,LOU,39,GT,34,Haynes King,313,Jawhar Jordan,96,Jamari Thrash,88
Missouri State,@Kansas,KU,48,MOST,17,Jason Bean,276,Devin Neal,94,Lawrence Arnold,77
Stanford,@Hawai'i,STAN,37,HAW,24,Brayden Schager,355,Casey Filkins,67,Benjamin Yurosek,138
UT Martin,@1Georgia,UGA,48,UTM,7,Carson Beck,294,Kendall Milton,53,Brock Bowers,78
East Carolina,@2Michigan,MICH,30,ECU,3,McCarthy,280,Blake Corum,73,Roman Wilson,78
3Ohio State,@Indiana,OSU,23,IU,3,Kyle McCord,239,Chip Trayanum,57,Cade Stover,98
Middle Tennessee,@4Alabama,ALA,56,MTSU,7,Jalen Milroe,194,Jalen Milroe,48,Isaiah Bond,76
Nevada,@6USC,USC,66,NEV,14,Caleb Williams,319,MarShawn Lloyd,76,Jamaal Bell,121
West Virginia,@7Penn State,PSU,38,WVU,15,Drew Allar,325,Smith,123,,
Boise State,@10Washington,WASH,56,BOIS,19,George Holani,51,Rome Odunze,132,,
Rice,@11Texas,TEX,37,RICE,10,Quinn Ewers,260,Jaydon Blue,55,Xavier Worthy,90
Virginia,@12Tennessee,TENN,49,UVA,13,Joe Milton III,201,Jaylen Wright,115,Ramel Keyton,66
Tennessee State,@13Notre Dame,ND,56,TNST,3,Sam Hartman,194,Audric Estime,116,Jayden Thomas,62
Portland State,@15Oregon,ORE,81,PRST,7,Bo Nix,287,Bucky Irving,119,Troy Franklin,106
Southeast Missouri State,@16Kansas State,KSU,45,SEMO,0,Will Howard,297,DJ Giddens,128,RJ Garcia II,119
Colorado,@17TCU,COLO,45,TCU,42,Shedeur Sanders,510,Emani Bailey,164,Dylan Edwards,135
Buffalo,@19Wisconsin,WIS,38,BUFF,17,Cole Snyder,194,Chez Mellusi,157,Will Pauling,55
Arkansas State,@20Oklahoma,OU,73,ARST,0,Dillon Gabriel,308,Jovantae Barnes,49,Nic Anderson,68
21North Carolina,@South Carolina,UNC,31,SC,17,Spencer Rattler,353,British Brooks,103,Xavier Legette,178
Mercer,@22Ole Miss,MISS,73,MER,7,Jaxson Dart,334,Quinshon Judkins,60,Tre Harris,133
New Mexico,@23Texas A&M,TA,52,UNM,10,Conner Weigman,236,Amari Daniels,51,Evan Stewart,115
