Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore,ReceivingLeader,ReceivingLeaderScore
Louisiana Tech,@Middle Tennessee,MTSU,31,LT,23,Nicholas Vattiato,248,Jaiden Credle,65,Smoke Harris,129
Liberty,@Jacksonville State,LIB,31,JVST,13,Kaidon Salter,177,Quinton Cooley,163,Perry Carter,83
Coastal Carolina,@Appalachian State,CCU,27,APP,24,Grayson McCall,373,Braydon Bennett,64,Sam Pinckney,102
UTEP,@Florida International,UTEP,27,FIU,14,Cade McConnell,262,Kelly Akharaiyi,223,,
Sam Houston,@New Mexico State,NMSU,27,SHSU,13,Diego Pavia,286,Diego Pavia,115,Trent Hudson,122
West Virginia,@Houston,HOU,41,WVU,39,Garrett Greene,391,Stacy Sneed,78,Devin Carter,116
SMU,@East Carolina,SMU,31,ECU,10,Preston Stone,276,Mason Garcia,38,Chase Sowell,120
Tulane,@Memphis,TULN,31,MEM,21,Seth Henigan,321,Makhi Hughes,130,Demeer Blankumsee,108
Fresno State,@Utah State,FRES,37,USU,32,Cooper Legas,363,Malik Sherrod,131,Jalen Royals,125
Stanford,@Colorado,STAN,46,COLO,43,Shedeur Sanders,400,Ashton Daniels,39,Elic Ayomanor,294
1Georgia,@Vanderbilt,UGA,37,VAN,20,Carson Beck,261,Daijun Edwards,146,Dominic Lovett,72
Indiana,@2Michigan,MICH,52,IU,7,McCarthy,222,Benjamin Hall,58,Colston Loveland,80
3Ohio State,@Purdue,OSU,41,PUR,7,Kyle McCord,276,Devin Mockobee,110,,
Syracuse,@4Florida State,FSU,41,SYR,3,Jordan Travis,284,LeQuint Allen,110,Keon Coleman,140
Massachusetts,@6Penn State,PSU,63,MASS,0,Drew Allar,162,Nicholas Singleton,79,Theo Johnson,66
8Oregon,@7Washington,WASH,36,ORE,33,Bo Nix,337,Bucky Irving,127,Troy Franklin,154
10USC,@21Notre Dame,ND,48,USC,20,Caleb Williams,199,Audric Estime,95,Chris Tyree,62
Arkansas,@11Alabama,ALA,24,ARK,21,Jalen Milroe,238,Jase McClellan,83,Kobe Prentice,93
25Miami,@12North Carolina,UNC,41,MIA,31,Tyler Van Dyke,391,Omarion Hampton,197,Devontez Walker,132
14Louisville,@Pittsburgh,PITT,38,LOU,21,Jack Plummer,350,Maurice Turner,81,Jamari Thrash,120
18UCLA,@15Oregon State,ORST,36,UCLA,24,DJ Uiagalelei,266,Carson Steele,110,Silas Bolden,87
California,@16Utah,UTAH,34,CAL,14,Fernando Mendoza,149,Sione Vaki,158,Taj Davis,93
NC State,@17Duke,DUKE,24,NCSU,3,MJ Morris,193,Jordan Waters,123,Jalon Calhoun,69
Texas A&M,@19Tennessee,TENN,20,TA,13,Max Johnson,223,Jaylen Wright,136,Noah Thomas,75
Arizona,@19Washington State,ARIZ,44,WSU,6,Noah Fifita,342,Rayshon Luke,71,Jonah Coleman,98
