Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore,ReceivingLeader,ReceivingLeaderScore
Auburn,@22LSU,LSU,48,AUB,18,Jayden Daniels,325,Logan Diggs,97,Kyren Lacy,111
23Kansas,@Oklahoma State,OKST,39,KU,32,Jason Bean,410,Ollie Gordon II,168,Ollie Gordon II,116
Missouri,@24Kentucky,MIZ,38,UK,21,Brady Cook,175,Ray Davis,128,,
Michigan State,@Rutgers,RUTG,27,MSU,24,Gavin Wimsatt,181,Kyle Monangai,148,Christian Dremel,80
Iowa State,@Cincinnati,ISU,30,CIN,10,Rocco Becht,241,Emory Jones,72,Jayden Higgins,172
Temple,@North Texas,UNT,45,TEM,14,Chandler Rogers,307,Quincy Patterson,113,Mori Maclin,163
Georgia Southern,@James Madison,JMU,41,GASO,13,Davis Brin,271,Jalen White,50,Elijah Sarratt,105
Kent State,@Eastern Michigan,EMU,28,KENT,14,Tommy Ulatowski,169,Jaylen Thomas,94,Tanner Knue,85
Navy,@Charlotte,NAVY,14,CLT,0,Trexler Ivey,142,Shadrick Byrd,92,Eli Heidenreich,69
Toledo,@Ball State,TOL,13,BALL,6,Dequan Finn,166,Peny Boone,148,Junior Vandeross III,49
Troy,@Army,TROY,19,ARMY,0,Gunnar Watson,227,Kanye Udoh,124,Jabre Barber,138
Illinois,@Maryland,ILL,27,MD,24,Taulia Tagovailoa,266,Kaden Feagin,84,Kaden Prather,70
Florida,@South Carolina,FLA,41,SC,39,Graham Mertz,423,Mario Anderson,98,Ricky Pearsall,166
Wake Forest,@Virginia Tech,VT,30,WAKE,13,Kyron Drones,321,Kyron Drones,59,Jaylin Lane,102
BYU,@TCU,TCU,44,BYU,11,Josh Hoover,439,Emani Bailey,61,JP Richardson,104
Florida Atlantic,@South Florida,FAU,56,USF,14,Daniel Richardson,382,Quan Wright,106,Tony Johnson,131
Akron,@Central Michigan,CMU,17,AKR,10,Jase Bauer,181,Jase Bauer,61,Jesse Prewitt III,50
Bowling Green,@Buffalo,BGSU,24,BUFF,14,Camden Orth,77,Terion Stewart,123,Austin Osborne,59
Miami (OH),@Western Michigan,M,34,WMU,21,Brett Gabbert,223,Jalen Buckley,61,Cade McDonald,78
Iowa,@Wisconsin,IOWA,15,WIS,6,Braedyn Locke,122,Leshon Williams,174,Bryson Green,86
Ohio,@Northern Illinois,NIU,23,OHIO,13,Rocky Lombardi,172,Gavin Williams,55,Grayson Barnes,66
UNLV,@Nevada,UNLV,45,NEV,27,Brendon Lewis,287,Brendon Lewis,115,Ricky White,166
San José State,@New Mexico,SJSU,52,UNM,24,Chevan Cordeiro,272,Kairee Robinson,126,Dominick Mazotti,70
Kansas State,@Texas Tech,KSU,38,TTU,21,Jake Strong,173,Treshaun Ward,118,Coy Eakin,102
Marshall,@Georgia State,GAST,41,MRSH,24,Cam Fancher,301,Marcus Carroll,159,Tailique Williams,129
UL Monroe,@Texas State,TXST,21,ULM,20,TJ Finley,222,Donerio Davenport,94,Joey Hobert,110
Wyoming,@Air Force,AFA,34,WYO,27,Andrew Peasley,212,Zac Larrier,111,Sam Scott,43
UAB,@UTSA,UTSA,41,UAB,20,Frank Harris,171,Robert Henry,99,,
Boise State,@Colorado State,CSU,31,BOIS,30,Nicolosi,359,Ashton Jeanty,212,Tory Horton,130
San Diego State,@Hawai'i,SDSU,41,HAW,34,Brayden Schager,427,Jalen Mayden,53,Steven McBride,157
