Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore,ReceivingLeader,ReceivingLeaderScore
Georgia State,@Coastal Carolina,GAST,30,CCU,17,Grayson McCall,295,Marcus Carroll,150,Tyson Mobley,82
Wisconsin,@Purdue,WIS,38,PUR,17,Hudson Card,202,Braelon Allen,116,Deion Burks,73
NC State,@Virginia,NCSU,24,UVA,21,Anthony Colandrea,271,Brennan Armstrong,64,Malik Washington,170
Boise State,@San Diego State,BOIS,34,SDSU,31,Jalen Mayden,241,Ashton Jeanty,205,Baylin Brooks,117
Air Force,@San José State,AFA,45,SJSU,20,Chevan Cordeiro,239,Emmanuel Michel,148,Dominick Mazotti,60
UAB,@1Georgia,UGA,49,UAB,21,Carson Beck,338,Daijun Edwards,66,Brock Bowers,121
Rutgers,@2Michigan,MICH,31,RUTG,7,McCarthy,214,Blake Corum,97,Christian Dremel,85
3Texas,@Baylor,TEX,38,BAY,6,Quinn Ewers,293,Jonathon Brooks,106,Tavion Sanders,110
4Florida State,@Clemson,FSU,31,CLEM,24,Jordan Travis,289,Phil Mafah,69,Johnny Wilson,94
5USC,@Arizona State,USC,42,ASU,28,Caleb Williams,322,MarShawn Lloyd,154,Brenden Rice,133
6Ohio State,@9Notre Dame,OSU,17,ND,14,Kyle McCord,240,TreVeyon Henderson,104,Emeka Egbuka,96
24Iowa,@7Penn State,PSU,31,IOWA,0,Drew Allar,166,Kaytron Allen,72,Smith,66
California,@8Washington,WASH,59,CAL,32,Dillon Johnson,66,Lynn Polk,127,,
19Colorado,@10Oregon,ORE,42,COLO,6,Bo Nix,276,Bucky Irving,89,Troy Franklin,126
22UCLA,@11Utah,UTAH,14,UCLA,7,Dante Moore,234,Jaylon Glover,86,Carsen Ryan,69
Arkansas,@12LSU,LSU,34,ARK,31,Jayden Daniels,320,Logan Diggs,97,,
15Ole Miss,@13Alabama,ALA,24,MISS,10,Jaxson Dart,244,Jase McClellan,105,Dayton Wade,88
14Oregon State,@21Washington State,WSU,38,ORST,35,Cameron Ward,404,Deshaun Fenwick,101,Kyle Williams,174
16Oklahoma,@Cincinnati,OU,20,CIN,6,Dillon Gabriel,322,Marcus Major,63,Andrel Anthony,117
17North Carolina,@Pittsburgh,UNC,41,PITT,24,Drake Maye,296,Jones,117,,
18Duke,@UConn,DUKE,41,CONN,7,Riley Leonard,248,Victor Rosa,68,Jordan Moore,86
20Miami,@Temple,MIA,41,TEM,7,Warner,240,,,,
UTSA,@23Tennessee,TENN,45,UTSA,14,Joe Milton III,209,Dylan Sampson,139,Joshua Cephus,58
Charlotte,@25Florida,FLA,22,CLT,7,Graham Mertz,284,Jalon Jones,66,Ricky Pearsall,99
Army,@Syracuse,SYR,29,ARMY,16,Garrett Shrader,245,LeQuint Allen,104,Damien Alford,135
Auburn,@Texas A&M,TA,27,AUB,10,Max Johnson,123,Veon Moss,97,Ainias Smith,78
Western Kentucky,@Troy,TROY,27,WKU,24,Gunnar Watson,349,Kimani Vidal,156,Malachi Corley,107
Kentucky,@Vanderbilt,UK,45,VAN,28,Devin Leary,205,Ray Davis,78,Barion Brown,105
Virginia Tech,@Marshall,MRSH,24,VT,17,Cam Fancher,166,Rasheen Ali,174,Benji Gosnell,52
SMU,@TCU,TCU,34,SMU,17,Chandler Morris,265,Emani Bailey,126,Chase Curtis,55
Tulsa,@Northern Illinois,TLSA,22,NIU,14,Cardell Williams,102,Anthony Watkins,91,Kamdyn Benjamin,53
Western Michigan,@Toledo,TOL,49,WMU,31,Treyson Bourguet,160,Peny Boone,211,Jerjuan Newton,72
Georgia Southern,@Ball State,GASO,40,BALL,3,Davis Brin,344,OJ Arnold,90,Khaleb Hood,107
Florida Atlantic,@Illinois,ILL,23,FAU,17,Luke Altmyer,303,Larry McCammon,89,LaJohntay Wester,137
Maryland,@Michigan State,MD,31,MSU,9,Taulia Tagovailoa,223,Nathan Carter,97,,
Louisiana Tech,@Nebraska,NEB,28,LT,14,Jack Turner,292,Heinrich Haarberg,157,Cyrus Allen,102
Boston College,@Louisville,LOU,56,BC,28,Jack Plummer,388,Jawhar Jordan,134,Bruce,110
BYU,@Kansas,KU,38,BYU,27,Kedon Slovis,357,Devin Neal,91,Chase Roberts,89
Texas Tech,@West Virginia,WVU,20,TTU,13,Behren Morton,158,Tahj Brooks,149,Xavier White,45
New Mexico,@Massachusetts,UNM,34,MASS,31,Carlos Davis,196,Adams,97,Anthony Simpson,104
Texas A&M-Commerce,@Old Dominion,ODU,10,TAMC,9,Jack Shields,258,Reggie Branch,78,Kelby Williams,197
Ohio,@Bowling Green,OHIO,38,BGSU,7,Kurtis Rourke,196,Terion Stewart,107,Jacoby Jones,85
Delaware State,@Miami (OH),M,62,DSU,20,Marqui Adams,274,Jordan Brunson,109,Khyheem Waleed,125
Oklahoma State,@Iowa State,ISU,34,OKST,27,Rocco Becht,348,Ollie Gordon II,121,Jaylin Noel,146
Rice,@South Florida,USF,42,RICE,29,Byrum Brown,435,Byrum Brown,82,Naiem Simmons,272
Eastern Michigan,@Jacksonville State,JVST,21,EMU,0,Logan Smothers,93,Malik Jackson,127,Quinton Lane,60
Central Michigan,@South Alabama,CMU,34,USA,30,Carter Bradley,254,Damian Webb,68,Jesse Prewitt III,142
Gardner-Webb,@East Carolina,ECU,44,GWEB,0,Alex Flinn,94,Javious Bond,65,Jaylen Johnson,70
Liberty,@Florida International,LIB,38,FIU,6,Kaidon Salter,156,Billy Lucas,102,Kris Mitchell,89
Georgia Tech,@Wake Forest,GT,30,WAKE,16,Haynes King,222,Justice Ellison,137,Taylor Morin,63
Sam Houston,@Houston,HOU,38,SHSU,7,Donovan Smith,294,Parker Jenkins,105,Matthew Golden,92
Colorado State,@Middle Tennessee,CSU,31,MTSU,23,Nicolosi,321,Nicholas Vattiato,47,Holden Willis,118
Arizona,@Stanford,ARIZ,21,STAN,20,Ashton Daniels,198,Jonah Coleman,75,Tiger Bachmeier,93
Nicholls,@Tulane,TULN,36,NICH,7,Pat McQuaide,273,Arnold Barnes III,71,Lawrence Keys III,77
Appalachian State,@Wyoming,WYO,22,APP,19,Joey Aguilar,200,Harrison Waylee,156,Kaedin Robinson,51
Southern Miss,@Arkansas State,ARST,44,USM,37,Jaylen Raynor,233,Courtney Jackson,94,,
Nevada,@Texas State,TXST,35,NEV,24,TJ Finley,295,Ismail Mahdi,216,Kole Wilson,93
Akron,@Indiana,IU,29,AKR,27,DJ Irons,194,DJ Irons,141,Cam Camper,103
Memphis,@Missouri,MIZ,34,MEM,27,Brady Cook,341,Cody Schrader,123,Luther Burden III,177
Minnesota,@Northwestern,NU,37,MINN,34,Ben Bryant,396,Darius Taylor,198,Bryce Kirtz,215
Mississippi State,@South Carolina,SC,37,MSST,30,Will Rogers,487,Mario Anderson,88,Lideatrick Griffin,256
Buffalo,@Louisiana,UL,45,BUFF,38,Zeon Chriss,249,lyn Washington,103,Charles Robertson,58
UCF,@Kansas State,KSU,44,UCF,31,Timmy McClain,264,DJ Giddens,207,Kobe Hudson,138
James Madison,@Utah State,JMU,45,USU,38,McCae Hillstead,399,Davon Booth,103,Reggie Brown,160
