Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore,ReceivingLeader,ReceivingLeaderScore
Jacksonville State,@Middle Tennessee,JVST,45,MTSU,30,Nicholas Vattiato,408,Zion Webb,101,Justin Olson,124
Florida International,@New Mexico State,NMSU,34,FIU,17,Keyone Jenkins,258,Monte Watkins,89,Kris Mitchell,91
Sam Houston,@Liberty,LIB,21,SHSU,16,Kaidon Salter,257,Quinton Cooley,106,CJ Daniels,157
Western Kentucky,@Louisiana Tech,WKU,35,LT,28,Austin Reed,297,Tyre Shelton,118,Malachi Corley,207
Kansas State,@Oklahoma State,OKST,29,KSU,21,Alan Bowman,235,Ollie Gordon II,136,Jaden Bray,77
Nebraska,@Illinois,NEB,20,ILL,7,Luke Altmyer,289,Heinrich Haarberg,82,Pat Bryant,76
20Kentucky,@1Georgia,UGA,51,UK,13,Carson Beck,389,Ray Davis,59,Brock Bowers,132
2Michigan,@Minnesota,MICH,52,MINN,10,McCarthy,219,Blake Corum,69,Cornelius Johnson,86
12Oklahoma,@3Texas,OU,34,TEX,30,Quinn Ewers,346,Jonathon Brooks,129,Jalil Farooq,130
Maryland,@4Ohio State,OSU,37,MD,17,Kyle McCord,320,Chip Trayanum,61,,
Virginia Tech,@5Florida State,FSU,39,VT,17,Jordan Travis,170,Trey Benson,200,Johnny Wilson,54
Arizona,@9USC,USC,43,ARIZ,41,Noah Fifita,303,Jonah Coleman,143,Tetairoa McMillan,138
10Notre Dame,@25Louisville,LOU,33,ND,20,Sam Hartman,254,Jawhar Jordan,143,Jamari Thrash,75
11Alabama,@Texas A&M,ALA,26,TA,20,Jalen Milroe,321,Veon Moss,49,Jermaine Burton,197
13Washington State,@UCLA,UCLA,25,WSU,17,Dante Moore,290,Carson Steele,141,Kyle Williams,85
Syracuse,@14North Carolina,UNC,40,SYR,7,Drake Maye,442,Omarion Hampton,78,Nate McCollum,135
15Oregon State,@California,ORST,52,CAL,40,DJ Uiagalelei,275,Damien Martinez,89,Anthony Gould,117
Arkansas,@16Ole Miss,MISS,27,ARK,20,KJ Jefferson,250,Ulysses Bentley IV,94,Ty Washington,90
Georgia Tech,@17Miami,GT,23,MIA,20,Tyler Van Dyke,288,Xavier Restrepo,123,,
23LSU,@21Missouri,LSU,49,MIZ,39,Brady Cook,411,Logan Diggs,134,Luther Burden III,149
24Fresno State,@Wyoming,WYO,24,FRES,19,Mikey Keene,218,Harrison Waylee,83,Jalen Moss,115
Boston College,@Army,BC,27,ARMY,24,Bryson Daily,105,Thomas Castellanos,142,Casey Reynolds,37
Western Michigan,@Mississippi State,MSST,41,WMU,28,Hayden Wolff,262,Seth Davis,65,Kenneth Womack,113
Rutgers,@Wisconsin,WIS,24,RUTG,13,Gavin Wimsatt,181,Braelon Allen,101,Will Pauling,68
William & Mary,@Virginia,UVA,27,W,13,Tony Muskett,232,Perris Jones,134,Malik Washington,112
Toledo,@Massachusetts,TOL,41,MASS,24,Taisun Phommachanh,272,Dequan Finn,172,Anthony Simpson,140
Marshall,@NC State,NCSU,48,MRSH,41,Cam Fancher,315,Michael Allen,70,Kevin Concepcion,102
UTSA,@Temple,UTSA,49,TEM,34,Warner,472,Robert Henry,78,John Adams,127
Central Michigan,@Buffalo,BUFF,37,CMU,13,Jase Bauer,280,Boobie Curry,74,,
Howard,@Northwestern,NU,23,HOW,20,Quinton Williams,169,Eden James,177,Richie Ilarraza,65
Purdue,@Iowa,IOWA,20,PUR,14,Hudson Card,247,Kaleb Johnson,134,Erick All,97
Wake Forest,@Clemson,CLEM,17,WAKE,12,Mitch Griffis,137,Will Shipley,97,Jahmal Banks,55
North Texas,@Navy,NAVY,27,UNT,24,Chandler Rogers,267,Alex Tecza,137,Mori Maclin,76
Texas State,@Louisiana,UL,34,TXST,30,TJ Finley,326,Ismail Mahdi,188,Joey Hobert,132
Ball State,@Eastern Michigan,EMU,24,BALL,10,Austin Smith,192,Kiael Kelly,94,JB Mitchell III,71
Bowling Green,@Miami (OH),M,27,BGSU,0,Brett Gabbert,170,Terion Stewart,63,,
Kent State,@Ohio,OHIO,42,KENT,17,Kurtis Rourke,300,Jaylen Thomas,67,Miles Cross,125
Northern Illinois,@Akron,NIU,55,AKR,14,Rocky Lombardi,191,Antario Brown,280,Kacper Rutkiewicz,70
Vanderbilt,@Florida,FLA,38,VAN,14,Ken Seals,280,Will Sheppard,107,,
UCF,@Kansas,KU,51,UCF,22,Timmy McClain,136,Devin Neal,154,Javon Baker,85
South Florida,@UAB,UAB,56,USF,35,Jacob Zeno,353,Byrum Brown,136,Tejhaun Palmer,119
Arkansas State,@Troy,TROY,37,ARST,3,Gunnar Watson,236,Kimani Vidal,245,Deshon Stoudemire,98
UConn,@Rice,CONN,38,RICE,31,JT Daniels,362,Victor Rosa,89,Luke McCaffrey,100
Tulsa,@Florida Atlantic,FAU,20,TLSA,17,Daniel Richardson,144,Larry McCammon,130,LaJohntay Wester,98
Colorado,@Arizona State,COLO,27,ASU,24,Trenton Bourguet,335,Anthony Hankerson,58,Elijhah Badger,134
South Alabama,@UL Monroe,USA,55,ULM,7,Carter Bradley,303,Damian Webb,100,Caullin Lacy,156
Old Dominion,@Southern Miss,ODU,17,USM,13,Grant Wilson,194,Kadarius Calloway,93,Ahmarian Granger,79
Texas Tech,@Baylor,TTU,39,BAY,14,Blake Shapen,324,Tahj Brooks,170,Monaray Baldwin,126
TCU,@Iowa State,ISU,27,TCU,14,Rocco Becht,138,Emani Bailey,152,Warren Thompson,35
Colorado State,@Utah State,USU,44,CSU,24,Cooper Legas,387,Davon Booth,141,Terrell Vaughn,143
