Team,Opo Team,Away Team,Away Team Score,Home Team,Home Team Score,PassingLeader,PassingLeaderScore,RushingLeader,RushingLeaderScore,ReceivingLeader,ReceivingLeaderScore
Murray State,@Louisville,LOU,56,MUR,0,Jack Plummer,247,Jawhar Jordan,135,Jamari Thrash,82
Indiana State,@Indiana,IU,41,INST,7,Tayven Jackson,236,Jaylin Lucas,88,,
Illinois,@Kansas,KU,34,ILL,23,Jalon Daniels,277,Devin Neal,120,Isaiah Williams,99
Ball State,@1Georgia,UGA,45,BALL,3,Carson Beck,283,Roderick Robinson II,38,Arian Smith,50
UNLV,@2Michigan,MICH,35,UNLV,7,McCarthy,278,Blake Corum,80,Roman Wilson,89
11Texas,@3Alabama,TEX,34,ALA,24,Quinn Ewers,349,Jonathon Brooks,57,Tavion Sanders,114
Southern Miss,@4Florida State,FSU,66,USM,13,Jordan Travis,175,Rodrigues Clark,86,Keon Coleman,48
Youngstown State,@5Ohio State,OSU,35,YSU,7,Kyle McCord,258,Tyshon King,66,,
Stanford,@6USC,USC,56,STAN,10,Caleb Williams,281,MarShawn Lloyd,77,Brenden Rice,75
Delaware,@7Penn State,PSU,63,DEL,7,Drew Allar,204,Kaytron Allen,103,Smith,74
Tulsa,@8Washington,WASH,43,TLSA,10,Jordan Ford,67,Jalen McMillan,120,,
Austin Peay,@9Tennessee,TENN,30,APSU,13,Mike DiLiello,260,Jaylen Wright,118,Trey Goodman,70
10Notre Dame,@NC State,ND,45,NCSU,24,Sam Hartman,286,Audric Estime,134,Holden Staes,115
12Utah,@Baylor,UTAH,20,BAY,13,Sawyer Robertson,218,Quinden Jackson,129,Hal Presley,72
13Oregon,@Texas Tech,ORE,38,TTU,30,Bo Nix,359,Tyler Shough,101,Troy Franklin,103
Grambling,@14LSU,LSU,72,GRAM,10,Jayden Daniels,269,Logan Diggs,115,Malik Nabers,87
Troy,@15Kansas State,KSU,42,TROY,13,Will Howard,250,Kimani Vidal,83,Phillip Brooks,94
UC Davis,@16Oregon State,ORST,55,UCD,7,DJ Uiagalelei,107,Damien Martinez,104,Silas Bolden,65
Appalachian State,@17North Carolina,UNC,40,APP,34,Joey Aguilar,275,Omarion Hampton,234,Dashaun Davis,117
SMU,@18Oklahoma,OU,28,SMU,11,Preston Stone,250,Tawee Walker,117,Andrel Anthony,76
19Wisconsin,@Washington State,WSU,31,WIS,22,Tanner Mordecai,277,Chez Mellusi,50,Will Pauling,78
20Ole Miss,@24Tulane,MISS,37,TULN,20,Jaxson Dart,267,Makhi Hughes,92,Dayton Wade,106
Lafayette,@21Duke,DUKE,42,LAF,7,Riley Leonard,136,Jordan Waters,112,Jordan Moore,84
Nebraska,@22Colorado,COLO,36,NEB,14,Shedeur Sanders,393,Xavier Weaver,170,,
23Texas A&M,@Miami,MIA,48,TA,33,Tyler Van Dyke,374,Amari Daniels,62,Evan Stewart,142
Charleston Southern,@25Clemson,CLEM,66,CHSO,17,Cade Klubnik,315,Will Shipley,73,Beaux Collins,137
Vanderbilt,@Wake Forest,WAKE,36,VAN,20,AJ Swann,314,Demond Claiborne,165,London Humphreys,109
Delaware State,@Army,ARMY,57,DSU,0,Bryson Daily,193,Bryson Daily,65,Isaiah Alston,135
Purdue,@Virginia Tech,PUR,24,VT,17,Hudson Card,248,Devin Mockobee,95,Quan Wright,77
Holy Cross,@Boston College,BC,31,HC,28,Thomas Castellanos,201,Matthew Sluka,131,Jaden Williams,70
James Madison,@Virginia,JMU,36,UVA,35,Anthony Colandrea,377,Ty Son Lawton,79,Malik Washington,119
South Carolina State,@Georgia Tech,GT,48,SCST,13,Haynes King,290,Jamal Haynes,113,,
New Hampshire,@Central Michigan,CMU,45,UNH,42,Max Brosmer,493,Myles Bailey,108,Dylan Laube,295
Eastern Illinois,@Bowling Green,BGSU,38,EIU,15,Connor Bazelak,319,Kevin Daniels,78,ron Keith,123
Eastern Kentucky,@Kentucky,UK,28,EKU,17,Devin Leary,299,Ray Davis,52,Tayvion Robinson,136
Southern Utah,@BYU,BYU,41,SUU,16,Kedon Slovis,348,Targhee Lambson,32,Zack Mitchell,135
Iowa,@Iowa State,IOWA,20,ISU,13,Rocco Becht,203,Jaziun Patterson,86,Jayden Higgins,95
Richmond,@Michigan State,MSU,45,RICH,14,Noah Kim,292,Nathan Carter,111,Tre Mosley,84
UTEP,@Northwestern,NU,38,UTEP,7,Gavin Hardison,192,Cam Porter,90,Jeremiah Ballard,92
Western Michigan,@Syracuse,SYR,48,WMU,7,Garrett Shrader,286,Jalen Buckley,87,Donovan Brown,89
Miami (OH),@Massachusetts,M,41,MASS,28,Brett Gabbert,302,Rashad Amos,115,Gage Larvadain,273
Texas State,@UTSA,UTSA,20,TXST,13,Frank Harris,214,Kevorian Barnes,103,Drew Donley,79
Wagner,@Navy,NAVY,24,WAG,0,Tai Lavatai,161,Eli Heidenreich,66,,
Southern Illinois,@Northern Illinois,SIU,14,NIU,11,Rocky Lombardi,297,Antario Brown,61,Kacper Rutkiewicz,139
Texas Southern,@Toledo,TOL,71,TXSO,3,Dequan Finn,238,Jacorey Howard,43,Larry Stephens,74
Kent State,@Arkansas,ARK,28,KENT,6,Michael Alaimo,174,AJ Green,82,Trell Harris,78
Marshall,@East Carolina,MRSH,31,ECU,13,Cam Fancher,178,Mason Garcia,118,Caleb McMillan,85
Cal Poly,@San José State,SJSU,59,CP,3,Chevan Cordeiro,205,Kairee Robinson,124,Charles Ross,39
Portland State,@Wyoming,WYO,31,PRST,17,Dante Chachere,214,Sam Scott,70,Ayir Asante,78
SE Louisiana,@South Alabama,USA,35,SELA,17,Zachary Clement,267,Kentrel Bullock,82,Caullin Lacy,139
New Mexico State,@Liberty,LIB,33,NMSU,17,Kaidon Salter,276,Quinton Cooley,106,CJ Daniels,129
Duquesne,@West Virginia,WVU,56,DUQ,17,Garrett Greene,240,Jahiem White,110,Hudson Clement,177
UAB,@Georgia Southern,GASO,49,UAB,35,Jacob Zeno,385,OJ Arnold,54,Tejhaun Palmer,102
Ohio,@Florida Atlantic,OHIO,17,FAU,10,Kurtis Rourke,203,Shaan Allison,80,LaJohntay Wester,101
Louisiana,@Old Dominion,ODU,38,UL,31,Ben Wooldridge,285,Keshawn Wicks,104,Reymello Murphy,97
Morgan State,@Akron,AKR,24,MORG,21,Davis,44,Jasaiah Gathings,86,,
Fordham,@Buffalo,FOR,40,BUFF,37,CJ Montes,309,Julius Loughridge,106,MJ Wright,159
North Texas,@Florida International,FIU,46,UNT,39,Keyone Jenkins,291,Kejon Owens,101,Kris Mitchell,94
Cincinnati,@Pittsburgh,CIN,27,PITT,21,Phil Jurkovec,179,Corey Kiner,153,Gavin Bartholomew,80
Jacksonville State,@Coastal Carolina,CCU,30,JVST,16,Grayson McCall,268,Jared Brown,77,Jared Brown,93
UConn,@Georgia State,GAST,35,CONN,14,Quan Roberson,216,Darren Grainger,142,Brett Buckman,93
Northwestern State,@Louisiana Tech,LT,51,NWST,21,Tyler Vander Waal,134,Jaren Mitchell,60,,
Middle Tennessee,@Missouri,MIZ,23,MTSU,19,Nicholas Vattiato,219,Cody Schrader,84,Luther Burden III,117
Houston Christian,@Western Kentucky,WKU,52,HCU,22,Austin Reed,253,Champ Dozier,80,Easton Messer,116
UCF,@Boise State,UCF,18,BOIS,16,John Rhys Plumlee,272,Ashton Jeanty,115,Kobe Hudson,134
Houston,@Rice,RICE,43,HOU,41,JT Daniels,401,Samuel Brown,138,,
Florida A&M,@South Florida,USF,38,FAMU,24,Jeremy Moussa,374,Michel Dukes,40,Nicholas Dixon,98
Memphis,@Arkansas State,MEM,37,ARST,3,Seth Henigan,239,Quez Cross,57,Tauskie Dove,52
Idaho,@Nevada,IDHO,33,NEV,6,Gevani McCoy,313,Anthony Woods,71,Hayden Hatten,85
McNeese,@Florida,FLA,49,MCN,7,Graham Mertz,193,Ricky Pearsall,123,,
Charlotte,@Maryland,MD,38,CLT,20,Taulia Tagovailoa,287,Roman Hemby,162,Jairus Mack,106
Eastern Michigan,@Minnesota,MINN,25,EMU,6,Athan Kaliakmanis,117,Darius Taylor,193,,
Arizona,@Mississippi State,MSST,31,ARIZ,24,Jayden de Laura,342,Quavious Marks,123,Tetairoa McMillan,161
Temple,@Rutgers,RUTG,36,TEM,7,Warner,230,Kyle Monangai,165,JaQuae Jackson,95
Furman,@South Carolina,SC,47,FUR,21,Spencer Rattler,345,Dakereon Joyner,42,Xavier Legette,118
UCLA,@San Diego State,UCLA,35,SDSU,10,Dante Moore,290,TJ Harden,91,Josiah Norwood,87
Air Force,@Sam Houston,AFA,13,SHSU,3,Keegan Shoemaker,44,Owen Burk,75,Ife Adeyi,20
Nicholls,@TCU,TCU,41,NICH,6,Chandler Morris,263,Emani Bailey,67,Neno Lemay,100
Lamar,@UL Monroe,ULM,24,LAM,14,Robert Coleman,190,Isaiah Woullard,113,Tyrone Howell,65
Tennessee Tech,@New Mexico,UNM,56,TNTC,10,Dylan Hopkins,273,Merritt,162,Duece Jones,78
Idaho State,@Utah State,USU,78,IDST,28,Jordan Cooke,185,Christian Fredericksen,116,,
Eastern Washington,@Fresno State,FRES,34,EWU,31,Mikey Keene,233,Elijah Gilliam,87,Erik Brooks,95
Auburn,@California,AUB,14,CAL,10,Sam Jackson V,129,Jaydn Ott,78,Rivaldo Fairweather,39
