Player,School,POS,ATT,YDS,AVG,LNG,TD
JC French,GASO,QB,11,45,4.1,18,0
Bryson Washington,BAY,RB,10,45,4.5,11,0
Devon Rivers,FRES,RB,12,44,3.7,14,0
Caleb Hood,UNC,RB,15,43,2.9,13,1
Ke'Travion Hargrove,MEM,RB,11,43,3.9,17,1
LaJohntay Wester,FAU,WR,6,43,7.2,21,1
Cam Cook,TCU,RB,10,43,4.3,16,0
Jaren Mangham,MSU,RB,13,42,3.2,7,0
Travis Bates,DUKE,RB,5,42,8.4,32,0
Daylan Smothers,OU,RB,11,42,3.8,16,0
LaNorris Sellers,SC,QB,3,42,14.0,36,1
Anthony Frias II,KSU,RB,13,42,3.2,8,0
Jay Ducker,MEM,RB,8,41,5.1,22,0
Sevion Morrison,KU,RB,8,41,5.1,9,1
Simeon Price,MSST,RB,5,41,8.2,16,0
Tristen Rigby,CLEM,RB,2,41,20.5,35,0
Taisun Phommachanh,MASS,QB,43,40,0.9,31,2
Cornelius Johnson,MICH,WR,2,40,20.0,26,0
Ryan O'Keefe,BC,WR,5,40,8.0,14,1
Kaden Dudley,BOIS,RB,7,40,5.7,18,0
Savion Red,TEX,RB,16,40,2.5,8,1
Cameron Seldon,TENN,RB,9,40,4.4,11,0
William Watson III,VT,QB,5,40,8.0,14,0
Brian Snead,ARST,RB,16,39,2.4,8,0
Sammy Malignaggi,JMU,RB,7,39,5.6,15,0
Leroy Thomas,WMU,WR,7,39,5.6,18,0
CJ Campbell Jr.,FSU,RB,4,39,9.8,19,0
Gunnar Gundy,OKST,QB,14,39,2.8,21,0
B.J. Harris,CMU,RB,18,38,2.1,9,0
Alex Orji,MICH,QB,7,38,5.4,16,1
Kaden Moorman,LOU,RB,5,38,7.6,25,0
D.J. Oliver,WVU,RB,10,38,3.8,6,1
Trace Campbell,UAB,QB,6,38,6.3,14,0
Justin Williams-Thomas,CAL,RB,7,38,5.4,23,0
Sean Atkins,USF,WR,4,37,9.3,20,0
Yulkeith Brown,TULN,WR,3,37,12.3,15,2
Andre Hines,BC,RB,6,37,6.2,12,0
Germie Bernard,WASH,WR,10,37,3.7,15,2
Cade Harris,AFA,WR,7,37,5.3,10,2
Dalen Morris,HAW,QB,15,36,2.4,15,2
Kaden Prather,MD,WR,1,36,36.0,36,0
Amare Thomas,UAB,WR,3,36,12.0,33,0
Curtis Douglas,KENT,RB,7,36,5.1,12,0
Jack Tuttle,MICH,QB,4,35,8.8,18,0
Savion Williams,TCU,WR,6,35,5.8,14,0
Devin Brown,OSU,QB,19,35,1.8,8,1
Tobias Weaver,SHSU,RB,17,35,2.1,8,0
Christian Nash,NIU,RB,8,35,4.4,16,0
Daelen Alexander,RICE,RB,18,35,1.9,9,5
Jay Haynes,CLEM,RB,6,35,5.8,17,1
Ui Ale,HOU,QB,6,35,5.8,11,0
Geordon Porter,CONN,WR,1,34,34.0,34,0
Spencer Sanders,MISS,QB,10,34,3.4,15,0
Cross Patton,NEV,RB,13,34,2.6,8,0
Ikaika Ragsdale,UNT,RB,9,34,3.8,17,0
Evan Pryor,OSU,RB,13,34,2.6,6,0
Dalen Cobb,GASO,WR,4,34,8.5,15,0
Terrell Washington Jr.,IOWA,RB,7,34,4.9,9,0
Jake Reichle,ORST,RB,4,34,8.5,15,0
Dorian Smith,USA,RB,2,34,17.0,29,1
Jam Griffin,MISS,RB,6,33,5.5,14,0
Hayden Wolff,WMU,QB,28,33,1.2,20,2
Chubba Purdy,NEB,QB,3,33,11.0,13,0
Mac Dalena,FRES,WR,1,33,33.0,33,0
Brennan Presley,OKST,WR,8,33,4.1,8,2
Sawyer Robertson,BAY,QB,19,33,1.7,31,1
Leon Franklin,MICH,RB,11,33,3.0,9,1
Anderson Castle,APP,RB,9,33,3.7,9,1
Justin Jones,AUB,RB,4,33,8.3,12,0
Patrick Wilk,TENN,RB,2,33,16.5,17,0
Antonio Patterson,FIU,RB,13,33,2.5,11,1
Jahbari Kuykendall,CCU,RB,3,33,11.0,34,0
Joseph Fagnano,CONN,QB,16,32,2.0,13,0
Cooper Jones,USU,RB,8,32,4.0,15,1
Jake McNamara,UTEP,QB,8,32,4.0,11,1
KZ Adams,GAST,RB,19,32,1.7,6,0
J.J. Kohl,ISU,QB,6,32,5.3,9,0
Brock Glenn,FSU,QB,2,32,16.0,34,0
Sevaughn Clark,UGA,RB,6,31,5.2,16,1
Ja'Lynn Polk,WASH,WR,3,31,10.3,27,1
Isaiah Williams,ILL,WR,10,31,3.1,5,0
Freddie Brock,GAST,RB,6,31,5.2,12,0
Jalen John,MASS,RB,10,31,3.1,7,0
Junior Vandeross III,TOL,WR,2,31,15.5,29,0
Jakarius Caston,USM,WR,3,31,10.3,11,1
Damian Henderson II,CSU,RB,7,31,4.4,11,0
Jordan Lovett,TROY,RB,7,31,4.4,6,0
Thomas Pannunzio,CMU,WR,3,30,10.0,19,0
Jack Plummer,LOU,QB,62,30,0.5,20,1
Alan Bowman,OKST,QB,21,30,1.4,13,2
Luke McCaffrey,RICE,WR,10,30,3.0,12,0
Charlie Norman,ULM,RB,10,30,3.0,12,0
Billy Edwards Jr.,MD,QB,7,30,4.3,9,1
Jabari Bates,SJSU,RB,11,30,2.7,7,0
Braylen Walker,RICE,WR,3,30,10.0,20,0
Mario Escobar,SYR,RB,4,30,7.5,15,0
Justin Holmes,KENT,TE,1,30,30.0,30,0
Connor Walendzak,TOL,RB,17,30,1.8,7,2
Harold Fannin Jr.,BGSU,TE,10,30,3.0,15,0
Victor Snow,BUFF,WR,5,30,6.0,16,0
Richard Newton,WASH,RB,4,29,7.3,17,0
Levi Williams,USU,QB,6,29,4.8,11,0
Omarion Dollison,JMU,WR,2,29,14.5,26,0
Jadon Jackson,KSU,WR,3,29,9.7,14,0
Tyler Crowe,BOIS,RB,9,29,3.2,8,0
Jaylin Lane,VT,WR,8,29,3.6,11,0
Trevin Luben,NEB,RB,3,29,9.7,18,0
Nico Iamaleava,TENN,QB,3,29,9.7,25,0
Braylon McReynolds,USA,RB,6,29,4.8,10,0
Alonza Barnett III,JMU,QB,5,29,5.8,9,1
E.J. Warner,TEM,QB,20,29,1.5,12,0
Chris Curry,UTAH,RB,8,28,3.5,9,0
Antavious Willis,USM,RB,6,28,4.7,12,0
Mike Drennen II,TOL,RB,7,28,4.0,8,1
Doug Brumfield,UNLV,QB,18,28,1.6,19,1
Brock Bowers,UGA,TE,6,28,4.7,14,1
Al-Shadee Salaam,RUTG,RB,6,28,4.7,18,1
Henry Belin IV,DUKE,QB,8,28,3.5,26,1
Kaleb Brown,IOWA,WR,4,28,7.0,13,0
AJ Swann,VAN,QB,25,28,1.1,25,1
PJ Martin,USA,RB,9,28,3.1,14,0
Dom Shoffner,CLT,QB,6,27,4.5,19,0
Hank Bachmeier,LT,QB,54,27,0.5,18,2
Chamon Metayer,CIN,TE,1,27,27.0,27,0
Roderick Daniels Jr.,SMU,WR,12,27,2.3,8,0
Max Johnson,TA&M,QB,51,27,0.5,32,2
Junior Sherrill,VAN,WR,3,27,9.0,20,0
Jack Griese,UVA,RB,9,27,3.0,9,1
Jaelen Gill,FRES,WR,9,26,2.9,6,0
Marvin Harrison Jr.,OSU,WR,2,26,13.0,19,1
Corey Wren,TCU,RB,8,26,3.3,9,0
T.J. Jones,UAB,WR,3,26,8.7,15,0
Chandler Pittman,USM,RB,9,26,2.9,11,0
Keagan Johnson,KSU,WR,6,26,4.3,13,0
Lawrence Keys III,TULN,WR,4,25,6.3,12,0
Phillip Brooks,KSU,WR,5,25,5.0,10,1
Dalvin Smith,WKU,WR,1,25,25.0,25,0
Dayton Wade,MISS,WR,7,25,3.6,9,0
Logan Kyle,VAN,TE,2,25,12.5,13,0
Devin Boddie Jr.,WYO,WR,3,25,8.3,26,0
Emeka Egbuka,OSU,WR,5,25,5.0,9,0
Victor Venn,LIB,RB,5,25,5.0,12,0
Jordan Nabors,BAY,WR,7,25,3.6,7,0
Grayson Loftis,DUKE,QB,14,25,1.8,8,1
Malcolm Gillie,BALL,WR,4,25,6.3,11,0
Dontae McMillan,EMU,RB,6,24,4.0,18,1
Evan Conley,LOU,QB,4,24,6.0,19,0
Jonathan Brady,NMSU,WR,7,24,3.4,10,1
Amin Hassan,NAVY,RB,10,24,2.4,11,0
Fraser Masin,MISS,P,1,24,24.0,24,0
Tiaquelin Mims,USM,DB,4,24,6.0,26,0
Tyler Brown,CLEM,WR,1,23,23.0,23,0
Ricky Pearsall,FLA,WR,2,23,11.5,14,1
Sam Adams II,WASH,RB,10,23,2.3,11,1
Daniyel Ngata,WASH,RB,7,23,3.3,9,1
Terrance Gibbs,GASO,RB,9,23,2.6,9,0
Bugs Mortimer,ULM,WR,3,23,7.7,23,0
Kendrell Williams,UL,RB,3,23,7.7,12,0
Devontez Walker,UNC,WR,3,23,7.7,20,0
Major Everhart,TCU,WR,6,23,3.8,12,0
Kam Ingram,UCF,RB,4,23,5.8,12,0
Wayne Knight,JMU,RB,4,23,5.8,22,0
Dedrick Latulas,LT,WR,3,23,7.7,14,0
Kevin Jennings,SMU,QB,10,23,2.3,10,1
Ashton Frye,JVST,QB,7,23,3.3,11,0
Ezell Jolly,UTEP,RB,8,23,2.9,6,0
Lucian Anderson III,BGSU,QB,7,23,3.3,9,1
Nate Johnson,BC,WR,4,23,5.8,18,0
Money Parks,UTAH,WR,5,22,4.4,15,0
Jelani Stafford,CONN,DL,13,22,1.7,4,6
Trent Battle,TCU,RB,8,22,2.8,10,0
Chance Black,VT,RB,6,22,3.7,8,0
Dante Jackson,AKR,PK,1,22,22.0,22,0
K.D. Hutchinson,WKU,WR,3,22,7.3,23,1
Quintell Quinn,OHIO,RB,5,22,4.4,8,0
Che Nwabuko,PITT,WR,3,22,7.3,24,0
Chrishon McCray,KENT,WR,4,22,5.5,11,0
Richard Young,ALA,RB,7,22,3.1,11,0
RJ Martinez,BAY,QB,3,22,7.3,9,0
Jordan Faison,ND,WR,2,22,11.0,16,0
Caleb McMillan,MRSH,WR,1,21,21.0,21,1
Ainias Smith,TA&M,WR,5,21,4.2,11,0
Jalen McMillan,WASH,WR,2,21,10.5,19,1
Jack Dawson,JVST,P,2,21,10.5,12,0
Grayson James,FIU,QB,21,21,1.0,18,1
Khaleb Hood,GASO,WR,2,21,10.5,16,0
Tavierre Dunlap,MICH,RB,5,21,4.2,7,0
Amaad Foston,UVA,RB,4,21,5.3,8,0
Garret Rangel,OKST,QB,6,21,3.5,10,0
Zach Vigil,UNM,RB,7,21,3.0,8,0
Isaiah Augustave,ARK,RB,6,21,3.5,8,0
Quinton Jackson,RICE,RB,6,21,3.5,11,0
Landon Sides,UNT,WR,3,21,7.0,8,0
Djay Braswell,SC,RB,10,21,2.1,9,0
Keyon Lesane,NCSU,WR,3,20,6.7,8,0
Ken Seals,VAN,QB,37,20,0.5,34,1
Tyler Buchner,ALA,QB,3,20,6.7,9,1
Kaylon Horton,UNT,WR,4,20,5.0,11,0
Marquis Crosby,LT,RB,1,20,20.0,20,0
Jet Harris,AFA,RB,5,20,4.0,8,1
David Amador,UTSA,WR,1,20,20.0,20,0
Montravius Lloyd,PITT,RB,5,20,4.0,5,0
Jarvis Durr,USA,RB,3,20,6.7,13,0
Kaden Wetjen,IOWA,WR,4,20,5.0,14,0
Emari White,UTEP,WR,2,20,10.0,17,0
Sesi Vailahi,OKST,RB,4,20,5.0,8,0
Cole Ballard,KU,QB,10,20,2.0,15,0
Jordan Jenkins,BAY,RB,2,19,9.5,16,0
Miller Moss,USC,QB,2,19,9.5,15,2
Ethan Wright,CIN,RB,7,19,2.7,9,0
Todd Justice,USA,TE,1,19,19.0,19,0
Brian Brewton,CONN,RB,3,19,6.3,8,0
Xavier Worthy,TEX,WR,3,19,6.3,16,0
Justyn Martin,UCLA,QB,3,19,6.3,15,0
Tevin White,ASU,RB,10,19,1.9,7,0
Braylin Presley,TLSA,RB,6,19,3.2,10,0
Carlos Davis,MASS,QB,20,19,0.9,18,0
Rickie Collins,LSU,QB,3,19,6.3,13,0
Anton Hall Jr.,NAVY,RB,6,19,3.2,6,2
Demetrius Battle,UAB,RB,5,19,3.8,7,0
Jamal Hailey,WMU,RB,6,19,3.2,7,0
Rickey Hunt,OHIO,RB,6,19,3.2,10,0
DeAngelo Irvin Jr.,UNLV,WR,1,19,19.0,19,0
Alex Smith,GASO,P,1,18,18.0,18,0
Casey Rogers,ORE,DL,1,18,18.0,18,0
Sterling Galban,JVST,WR,5,18,3.6,10,0
Malik Caper,LIB,RB,4,18,4.5,9,0
Gary Bryant Jr.,ORE,WR,3,18,6.0,15,0
Wyatt Wieland,WYO,WR,6,18,3.0,11,1
David Holloman,IU,RB,6,18,3.0,7,0
Johnathan Arceneaux,FRES,RB,6,18,3.0,9,0
Cole Nelson,VT,DL,1,18,18.0,18,0
Elliott Nimrod,USU,PK,1,18,18.0,18,1
Daniel Wood,UTAH,RB,5,18,3.6,10,0
Jimmy Horn Jr.,COLO,WR,2,18,9.0,17,0
Katin Houser,MSU,QB,34,18,0.5,12,2
Te'Sean Smoot,JVST,QB,4,18,4.5,5,0
Vinny Anthony II,WIS,WR,1,18,18.0,18,0
Easton Messer,WKU,WR,1,18,18.0,18,0
KJ Edwards,CSU,RB,2,18,9.0,12,0
Ben Kiernan,UNC,P,1,17,17.0,17,0
Chris Mayo,EMU,OL,0,17,0.0,17,0
Matthew Shipley,HAW,PK,1,17,17.0,17,0
Jacob Cowing,ARIZ,WR,4,17,4.3,6,0
Davion Primm,MSU,RB,4,17,4.3,8,0
Gunner Stockton,UGA,QB,4,17,4.3,14,0
Deuce Spann,FSU,WR,3,17,5.7,15,0
Monaray Baldwin,BAY,WR,3,17,5.7,12,0
Blake Murphy,ULM,QB,19,17,0.9,15,0
Hunter Barnes,TENN,RB,4,17,4.3,7,0
Micah Barnett,RICE,FB,6,17,2.8,6,0
Lamar Sperling,BUFF,RB,4,17,4.3,8,0
Jackson Kleather,BGSU,PK,1,17,17.0,17,0
Landan Brown,SHSU,RB,9,17,1.9,6,0
John Adams,TEM,WR,1,16,16.0,16,0
Jarrad Baker,UCF,WR,4,16,4.0,10,0
Mark-Antony Richards,UCF,RB,4,16,4.0,7,1
Jordan Whittington,TEX,WR,2,16,8.0,20,0
Jabre Barber,TROY,WR,3,16,5.3,8,0
Deion Burks,PUR,WR,2,16,8.0,10,0
Raleek Brown,USC,WR,3,16,5.3,14,1
Hunter Helms,CLEM,QB,1,16,16.0,16,0
Marcel Reed,TA&M,QB,3,16,5.3,13,0
Gavin Freeman,OU,WR,3,16,5.3,10,0
Keldric Luster,SMU,QB,2,16,8.0,10,0
Quran Boyd,DUKE,WR,6,16,2.7,9,0
Jaylen Lloyd,NEB,WR,3,16,5.3,9,0
Duane Thomas Jr.,CLT,WR,4,16,4.0,8,0
Je'Quan Burton,FAU,WR,1,15,15.0,15,0
Xavier Weaver,COLO,WR,2,15,7.5,14,2
Demeer Blankumsee,MEM,WR,2,15,7.5,10,0
Kaedric Cobbs,UTSA,RB,4,15,3.8,10,0
Navy Shuler,TENN,QB,2,15,7.5,15,0
Jack Coulson,KENT,WR,1,15,15.0,15,0
Odieu Hiliare,BGSU,WR,0,15,0.0,15,0
Alante Brown,MSU,WR,8,15,1.9,10,0
Xavier Coleman,BC,RB,6,15,2.5,4,1
PJ Johnson III,NMSU,WR,1,15,15.0,15,0
MJ Morris,NCSU,QB,32,15,0.5,16,0
Jalin Conyers,ASU,TE,8,15,1.9,8,0
Trapper Pannell,SHSU,QB,12,15,1.3,10,3
Bryson Donnell,TTU,RB,4,15,3.8,12,0
Ahmarian Granger,ODU,WR,1,15,15.0,15,0
Carlson Joseph,FLA,RB,3,15,5.0,7,0
Tiger Bachmeier,STAN,WR,1,15,15.0,15,0
Tyler Walton,OHIO,WR,3,14,4.7,7,0
Devyn Ford,ND,RB,4,14,3.5,5,0
Jimmy Calloway,LOU,WR,2,14,7.0,7,0
Jordon Simmons,MSU,RB,7,14,2.0,4,0
Rome Odunze,WASH,WR,1,14,14.0,14,1
Iverson Celestine,TULN,RB,3,14,4.7,11,0
Colton Spangler,MD,P,1,14,14.0,14,0
Kacper Rutkiewicz,NIU,WR,2,14,7.0,9,0
Skip Velotta,ND,RB,2,14,7.0,9,0
Josh Atkins,HAW,OL,0,14,0.0,14,0
Eddie Battle,FLA,RB,6,14,2.3,7,0
Cam'ron Barfield,BC,RB,11,14,1.3,10,0
George Hart III,ASU,RB,5,14,2.8,7,0
A'Marion Peterson,USC,RB,2,14,7.0,9,0
Kalib Hicks,OU,RB,3,14,4.7,9,1
Brandon High,UTSA,RB,6,14,2.3,5,0
Khalifa Keith,TENN,RB,7,14,2.0,6,0
La'James White,KSU,RB,2,14,7.0,9,0
Dee Wiggins,CIN,WR,1,13,13.0,13,0
Billy Kemp IV,NEB,WR,2,13,6.5,9,1
Jesiah Irish,ORST,WR,2,13,6.5,11,0
Tucker Gleason,TOL,QB,5,13,2.6,9,0
Keelan Marion,BYU,WR,6,13,2.2,6,2
Cole Harrity,BUFF,WR,3,13,4.3,6,0
Jalen Montgomery,MTSU,RB,4,13,3.3,7,0
Owen McCown,UTSA,QB,7,13,1.9,11,0
Cam Crooks,TLSA,WR,4,13,3.3,10,0
Tyler Bradley,NAVY,RB,1,13,13.0,13,0
Ahmad Edwards,BALL,WR,2,12,6.0,9,0
Jamari Thrash,LOU,WR,1,12,12.0,12,1
Traeshon Holden,ORE,WR,2,12,6.0,7,1
JoJo Earle,TCU,WR,3,12,4.0,9,0
Issiah Nixon,SHSU,LB,6,12,2.0,5,2
Brock Domann,LOU,QB,3,12,4.0,11,0
Dane Kinamon,AFA,WR,4,12,3.0,4,0
JP Richardson,TCU,WR,3,12,4.0,8,0
Elijah Green,UNC,RB,4,12,3.0,9,0
Chase Roberts,BYU,WR,2,12,6.0,11,0
Terron Dixon III,GASO,RB,5,12,2.4,12,0
Jake Tafelski,CMU,RB,3,12,4.0,5,0
Shaun Thomas,CIN,RB,7,12,1.7,5,0
Xayvion Turner-Bradshaw,VT,WR,2,12,6.0,9,0
Kellan Hood,UNC,RB,2,12,6.0,7,0
Jalen Bracey,FIU,WR,2,12,6.0,7,0
Evan Svoboda,WYO,QB,13,12,0.9,7,0
Kenyon Sadiq,ORE,TE,1,12,12.0,12,0
John Busha,AFA,QB,3,12,4.0,6,0
Antwan Roberts,MRSH,RB,2,11,5.5,8,0
Ladd McConkey,UGA,WR,1,11,11.0,11,0
Malachi Corley,WKU,WR,4,11,2.8,6,0
Luther Burden III,MIZ,WR,6,11,1.8,6,0
Nate Boerkircher,NEB,TE,1,11,11.0,11,0
Jake Arthurs,NU,RB,4,11,2.8,8,0
Charles Crawford III,SHSU,RB,7,11,1.6,4,0
Mudia Reuben,STAN,WR,2,11,5.5,13,0
Charlie Offerdahl,COLO,RB,2,11,5.5,6,0
Christian Washington,UNM,RB,12,11,0.9,5,0
Dakota Williams,LT,WR,8,11,1.4,6,1
Champ Harris,ARMY,QB,21,11,0.5,36,1
Kaden Cloud,AFA,RB,2,11,5.5,11,0
Drake Stoops,OU,WR,3,10,3.3,13,0
Timmy Bleekrode,NEB,PK,1,10,10.0,10,0
Jeremiah Hixon,UNM,WR,2,10,5.0,7,0
Dashaun Davis,APP,WR,1,10,10.0,10,0
Lawrence Arnold,KU,WR,1,10,10.0,10,0
Roman Wilson,MICH,WR,1,10,10.0,10,0
Jayden Thomas,ND,WR,1,10,10.0,10,0
Kendrell Flowers,NIU,RB,3,10,3.3,4,0
Tahj Washington,USC,WR,1,10,10.0,10,0
Julian Gray,NCSU,WR,3,10,3.3,7,0
Tyler Van Dyke,MIA,QB,18,10,0.6,37,1
Jayden Denegal,MICH,QB,4,10,2.5,8,0
Zach Pyron,GT,QB,4,10,2.5,5,0
Nyck Harbor,SC,WR,2,10,5.0,9,0
Jaquaize Pettaway,OU,WR,1,10,10.0,10,0
Devin McCuin,UTSA,WR,1,10,10.0,10,0
Ajani Sheppard,RUTG,QB,1,10,10.0,10,0
Kadin Semonza,BALL,QB,17,10,0.6,16,0
Trent Hudson,NMSU,WR,1,10,10.0,10,0
Perry Carter,JVST,WR,2,9,4.5,8,0
Mark Pope,MASS,WR,5,9,1.8,11,0
Tyrone Broden,ARK,WR,1,9,9.0,9,0
Anthony Sambucci,WMU,WR,1,9,9.0,9,0
Cameron Ross,CONN,WR,4,9,2.3,14,0
Ke'Shawn Williams,WAKE,WR,2,9,4.5,7,1
Zach Haynes,NMSU,P,1,9,9.0,9,0
Chase Gabriel,FIU,PK,1,9,9.0,9,0
Joey Bearns III,CLT,TE,3,9,3.0,5,0
Billy Wiles,USM,QB,54,9,0.2,16,1
Janiran Bonner,NEB,FB,4,9,2.3,3,1
Sam Horn,MIZ,QB,3,9,3.0,6,0
Jake Farrell,HAW,QB,2,9,4.5,9,0
Timothy Conerly,UNLV,WR,2,9,4.5,5,0
Atticus Sappington,ORST,PK,1,9,9.0,9,0
Raheim Jeter,ECU,QB,1,9,9.0,9,0
Jeremiah Coney,VT,RB,6,9,1.5,5,0
Bryce McMahon,TOL,RB,3,9,3.0,7,0
Kayden Collins,SJSU,RB,2,9,4.5,6,0
Malik Phillips,SHSU,WR,3,9,3.0,8,0
Troy Leigber,UCLA,RB,1,9,9.0,9,0
Kenyon Sims,JVST,RB,4,8,2.0,4,0
David Martin-Robinson,TEM,TE,5,8,1.6,4,0
Cam Johnson,NU,WR,1,8,8.0,8,0
Ben Finley,CAL,QB,12,8,0.7,6,0
Derrick Davis Jr.,PITT,RB,2,8,4.0,7,0
Jayden Harrison,MRSH,WR,1,8,8.0,8,0
Danny Hughes,MICH,RB,2,8,4.0,6,0
EJ Horton,WVU,WR,2,8,4.0,4,0
Tar'Varish Dawson,COLO,WR,1,8,8.0,8,1
Cooper DeJean,IOWA,DB,1,8,8.0,8,0
Emmett Morehead,BC,QB,2,8,4.0,4,0
Ty Simpson,ALA,QB,13,8,0.6,11,2
CJ Stokes,MICH,RB,4,8,2.0,7,0
Bryson Moss,EMU,RB,1,8,8.0,8,0
Bradley Dunn,SC,RB,3,8,2.7,9,0
Reese Clark,TEM,TE,3,8,2.7,3,0
Javen Jacobs,ASU,RB,3,8,2.7,5,0
Mike Sharpe II,ARST,RB,2,8,4.0,5,0
Max Fletcher,ARK,P,1,8,8.0,8,0
Dewayne Coleman,ARMY,QB,4,8,2.0,5,0
Noah Short,ARMY,WR,3,8,2.7,6,0
Chuuky Hines,HAW,WR,1,8,8.0,8,0
Chauncy Cobb,ARST,WR,1,8,8.0,8,0
Tate Jernigan,TULN,RB,1,8,8.0,8,0
Jonathon Carter,USA,RB,1,8,8.0,8,0
Que Williams,M-OH,WR,1,8,8.0,8,0
Hamze El-Zayat,EMU,WR,2,7,3.5,6,0
Tyler Harrell,MIA,WR,1,7,7.0,7,0
Trent Pennix,NCSU,TE,1,7,7.0,7,0
Sam Pinckney,CCU,WR,1,7,7.0,7,0
Harold Joiner III,MSU,LB,4,7,1.8,6,0
Davis Beville,OU,QB,3,7,2.3,3,0
Zae Baines,TEM,WR,2,7,3.5,13,0
Kobie Campbell,RICE,WR,6,7,1.2,8,0
Malik Washington,UVA,WR,3,7,2.3,8,0
Jahmal Banks,WAKE,WR,1,7,7.0,7,0
Tychaun Chapman,UNC,WR,1,7,7.0,7,0
Tyson Riley,ARMY,RB,3,7,2.3,4,0
Ben Brittain,AFA,QB,1,7,7.0,7,0
Jalen Johnson,AFA,RB,2,7,3.5,4,0
Matt Colombo,USC,RB,1,7,7.0,7,0
Kylen Austin,LIB,WR,2,7,3.5,4,0
Jaxon Dailey,ARST,QB,10,7,0.7,10,0
Iverson Hooks,UAB,WR,1,7,7.0,7,0
Bobby Golden,AKR,WR,2,7,3.5,4,0
Nolan Ray,MD,RB,3,7,2.3,6,0
Caleb Komolafe,NU,RB,2,7,3.5,5,0
Jaylin Belford,LIB,RB,1,7,7.0,7,0
Kelly Akharaiyi,UTEP,WR,1,7,7.0,7,0
George Arata,TULN,RB,2,7,3.5,4,0
Ke'Marion Baldwin,JMU,RB,3,7,2.3,6,0
Zack Dobson,MTSU,WR,4,6,1.5,3,1
Tayvion Robinson,UK,WR,1,6,6.0,6,0
Melquan Stovall,ASU,WR,2,6,3.0,11,0
Dino Tomlin,BC,WR,2,6,3.0,11,0
Micah Kelly,TOL,RB,5,6,1.2,3,0
Sedrick Van Pran,UGA,OL,0,6,0.0,6,0
Mavin Anderson,CAL,WR,1,6,6.0,6,0
Terry Lockett Jr.,EMU,WR,1,6,6.0,6,0
Tate Rodemaker,FSU,QB,1,6,6.0,6,0
Corey Rucker,ARST,WR,1,6,6.0,6,0
Shawn Harris Jr.,MASS,WR,1,6,6.0,6,0
Abdul-Fatai Ibrahim,BGSU,WR,3,6,2.0,5,0
Ethan Hampton,NIU,QB,4,6,1.5,6,0
Chase Contreraz,ISU,PK,1,6,6.0,6,0
Joseph Martinez,MSU,RB,5,6,1.2,3,0
Will Pelissier,WYO,WR,3,6,2.0,4,0
Gavin Haines,ORST,RB,2,6,3.0,5,0
Sam Candotti,BC,P,1,6,6.0,6,0
Cole Cabana,MICH,RB,2,6,3.0,5,0
Arlen Harris Jr.,ISU,RB,1,6,6.0,6,0
Trimaine Brown Jr.,BGSU,WR,2,6,3.0,4,0
Darius Stone,AFA,RB,1,6,6.0,6,0
JQ Gray,USM,RB,3,6,2.0,3,0
Darren Lloyd,CCU,RB,2,6,3.0,4,0
Maurice Mazzccua,NEB,RB,1,6,6.0,6,0
Travis Glover,GAST,OT,1,5,5.0,5,0
Jax Sherrard,SHSU,TE,1,5,5.0,5,0
JJ Branham,SYR,RB,3,5,1.7,3,0
Oscar Cardenas,UTSA,TE,2,5,2.5,3,0
Lincoln Victor,WSU,WR,1,5,5.0,5,0
Dante Wright,TEM,WR,2,5,2.5,4,0
Anthony Gould,ORST,WR,2,5,2.5,4,0
Jayson Jones,JVST,WR,1,5,5.0,5,0
Izayah Cummings,UK,TE,1,5,5.0,5,0
Elijah Metcalf,MTSU,WR,1,5,5.0,5,0
Courtney Jackson,ARST,WR,1,5,5.0,5,0
Ayir Asante,WYO,WR,3,5,1.7,10,0
DC Tabscott,UNM,QB,1,5,5.0,5,0
Mareyohn Hrabowski,WMU,QB,2,5,2.5,4,0
Tariq Sims,ODU,RB,6,5,0.8,3,0
Braden Davis,SYR,QB,2,5,2.5,4,0
AJ Duffy,FSU,QB,3,5,1.7,9,0
Kyle Lowe,MTSU,QB,3,5,1.7,6,0
Joshua Nicholson,SDSU,WR,1,5,5.0,5,0
Brett Griffis,JMU,QB,2,5,2.5,4,0
Jaden Rashada,ASU,QB,8,5,0.6,9,0
Tim Gans,NMSU,RB,1,5,5.0,5,0
Billy Atkins,JMU,QB,2,5,2.5,6,0
Tae Meadows,TROY,RB,1,5,5.0,5,1
Louis Brown IV,CSU,WR,2,5,2.5,3,0
Taven Curry,UAB,RB,1,5,5.0,5,0
Charles Kellom,AKR,RB,4,5,1.3,4,0
London Humphreys,VAN,WR,1,5,5.0,5,0
Squirrel White,TENN,WR,1,5,5.0,5,0
Darius Lassiter,BYU,WR,1,5,5.0,5,0
Cannon Turner,AFA,QB,3,5,1.7,3,0
David Egbe,WAKE,RB,3,5,1.7,3,0
Josiah Gonzales,UCLA,DB,3,5,1.7,3,0
Ike Udengwu III,EMU,QB,5,5,1.0,15,0
Chris Edmonds,BGSU,RB,1,5,5.0,5,0
Aidan Swanson,CLEM,PK,1,4,4.0,4,0
Anthony Switzer,USU,S,1,4,4.0,4,0
Andy Alfieri,CAL,FB,2,4,2.0,4,0
Diante Vines,IOWA,WR,1,4,4.0,4,0
Santino Marucci,WAKE,QB,8,4,0.5,8,0
Billy Dozier,NIU,WR,4,4,1.0,5,0
Earnest Crownover,TA&M,RB,2,4,2.0,6,0
