Player,School,POS,ATT,YDS,AVG,LNG,TD
Aidan Robbins,BYU,RB,63,229,3.6,36,1
Seth Henigan,MEM,QB,79,229,2.9,24,4
Isaiah Johnson,UNT,RB,37,229,6.2,28,3
Jiya Wright,ULM,QB,81,229,2.8,44,1
Brady Cook,MIZ,QB,81,228,2.8,25,6
Ashton Daniels,STAN,QB,87,228,2.6,24,3
Christian Turner,IU,RB,52,227,4.4,17,2
Sean Tyler,MINN,RB,58,227,3.9,19,0
Brian Battie,AUB,RB,51,227,4.5,24,1
Mason Garcia,ECU,QB,50,227,4.5,57,2
Mike Hollins,UVA,RB,72,226,3.1,13,7
Avery Johnson,KSU,QB,45,225,5.0,30,6
Jacqez Barksdale,BUFF,RB,45,225,5.0,39,2
Bryson Barnes,UTAH,QB,55,223,4.1,26,3
Courtney Reese,UNLV,RB,53,220,4.2,32,4
DeCarlos Brooks,ASU,RB,42,220,5.2,17,3
Robby Ashford,AUB,QB,44,220,5.0,21,5
Josh Henderson,IU,RB,59,219,3.7,20,2
Kendrick Raphael,NCSU,RB,45,216,4.8,31,1
DJ Irons,AKR,QB,61,215,3.5,47,2
Casey Filkins,STAN,RB,38,215,5.7,59,1
Keegan Shoemaker,SHSU,QB,76,214,2.8,29,1
Zach Evans,MINN,RB,50,213,4.3,18,1
Avery Morrow,CSU,RB,72,212,2.9,13,1
Damari Alston,AUB,RB,44,212,4.8,13,1
Shadrick Byrd,CLT,RB,60,211,3.5,18,0
Kenny Tracy,M-OH,RB,43,211,4.9,42,2
Nakia Watson,WSU,RB,70,210,3.0,17,4
Josh Williams,LSU,RB,34,210,6.2,41,4
Max Balthazar,CCU,RB,39,210,5.4,34,2
Sam Scott,WYO,RB,47,208,4.4,19,2
Delbert Mimms III,NCSU,RB,69,206,3.0,18,7
Hayden Reed,ARMY,RB,50,205,4.1,27,2
Jackson Acker,WIS,RB,50,204,4.1,14,1
Landon Sims,HAW,RB,46,203,4.4,22,1
Andrew Henry,UNM,RB,35,203,5.8,33,2
Michael Wiley,ARIZ,RB,46,202,4.4,17,1
Chevan Cordeiro,SJSU,QB,69,201,2.9,28,3
Ashton Stredick,CAL,RB,42,200,4.8,41,2
Cardell Williams,TLSA,QB,57,200,3.5,50,5
E.J. Smith,STAN,RB,46,199,4.3,34,1
K'Wan Powell,USF,RB,56,199,3.6,27,1
Jayden Maiava,UNLV,QB,51,199,3.9,24,3
Reese White,CCU,RB,62,198,3.2,14,2
Dylan Downing,PUR,RB,46,198,4.3,25,1
Jordan Johnson,HAW,RB,34,198,5.8,28,0
Hahsaun Wilson,CLT,RB,24,198,8.3,34,3
Kevin Concepcion,NCSU,WR,18,198,11.0,65,0
Preston Stone,SMU,QB,52,197,3.8,34,3
Kurtis Rourke,OHIO,QB,53,196,3.7,25,2
Gabe Ervin Jr.,NEB,RB,38,196,5.2,27,1
Xavier Arline,NAVY,QB,50,196,3.9,50,2
Maurice Turner,LOU,RB,46,196,4.3,30,1
Raheim Sanders,ARK,RB,60,194,3.2,19,2
Will Nixon,WASH,RB,28,190,6.8,21,1
Jeff Sims,NEB,QB,42,189,4.5,57,1
Javious Bond,ECU,RB,29,189,6.5,39,1
Lee Beebe,UAB,RB,35,189,5.4,25,1
Brendan Sorsby,IU,QB,84,188,2.2,18,4
Tahj Gary,TLSA,RB,33,187,5.7,40,2
Tanner Mordecai,WIS,QB,59,186,3.2,19,4
Marco Lee Jr.,USA,RB,41,186,4.5,13,2
Bert Emanuel Jr.,CMU,QB,45,185,4.1,66,2
Frank Harris,UTSA,QB,63,183,2.9,31,1
