Away Team,Home Team,Time,TV,Tickets
New Mexico State,@Liberty,7:00 PM,CBSSN,Tickets as low as $35
TBD,@5Washington,8:00 PM,,
TBD,@TBD,12:00 PM,,
Miami (OH),@Toledo,12:00 PM,,
TBD,@TBD,3:00 PM,FOX,
1Georgia,@8Alabama,4:00 PM,CBS,Tickets as low as $328
TBD,@TBD,4:00 PM,,
TBD,@Troy,4:00 PM,,
TBD,@TBD,4:00 PM,,
10Louisville,@4Florida State,8:00 PM,,Tickets as low as $57
TBD,@16Iowa,8:00 PM,FOX,
