Player,School,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
Shawqi Itraish,RICE,QB,1,1,100.0,10,10.0,10,0,0,0,184.0
Brian Garcia,ULM,QB,1,5,20.0,10,2.0,10,0,0,1,36.8
Billy Atkins,JMU,QB,1,2,50.0,10,5.0,10,0,0,1,92.0
Jack Lausch,NU,QB,2,3,66.7,10,3.3,6,0,0,1,94.7
Jalen McMillan,WASH,WR,1,1,100.0,9,9.0,9,0,0,0,175.6
Donovan Brown,SYR,WR,1,1,100.0,9,9.0,9,0,0,0,175.6
TJ McMahon,MRSH,QB,1,1,100.0,8,8.0,8,0,0,0,167.2
Treshaun Ward,KSU,RB,1,1,100.0,8,8.0,8,1,0,0,497.2
Grant Tisdale,TCU,QB,1,1,100.0,8,8.0,8,0,0,0,167.2
Logan Lupo,FAU,P,1,1,100.0,8,8.0,8,0,0,0,167.2
Zion Turner,CONN,QB,2,5,40.0,8,1.6,5,0,0,0,53.4
Broc Lowry,IU,QB,1,1,100.0,8,8.0,8,0,0,0,167.2
Eric Singleton Jr.,GT,WR,1,1,100.0,8,8.0,8,0,0,0,167.2
Trayvon Rudolph,NIU,WR,1,1,100.0,7,7.0,7,0,0,0,158.8
Hunter Renner,NU,P,1,1,100.0,7,7.0,7,0,0,0,158.8
Justin Lynch,NIU,RB,1,1,100.0,7,7.0,7,1,0,0,488.8
Miles Cross,OHIO,WR,1,1,100.0,7,7.0,7,0,0,0,158.8
Brady Allen,LOU,QB,1,1,100.0,7,7.0,7,0,0,0,158.8
Pierce Clarkson,LOU,QB,1,2,50.0,7,3.5,7,0,0,0,79.4
CJ Coombes,TLSA,S,1,1,100.0,7,7.0,7,0,0,0,158.8
Ben Gulbranson,ORST,QB,1,1,100.0,6,6.0,6,0,0,0,150.4
Devaughn Vele,UTAH,WR,1,3,33.3,6,2.0,6,0,0,0,50.1
Jake Rubley,KSU,QB,1,1,100.0,5,5.0,5,0,0,0,142.0
Kaiya Sheron,UK,QB,2,4,50.0,5,1.3,11,0,0,0,60.5
Taji Hudson,JMU,WR,1,1,100.0,4,4.0,4,1,0,0,463.6
Pryce Yates,CONN,DL,1,1,100.0,4,4.0,4,0,0,0,133.6
Kaytron Allen,PSU,RB,1,1,100.0,4,4.0,4,0,0,0,133.6
Brandon Engel,AFA,WR,1,1,100.0,4,4.0,4,0,0,0,133.6
Jefferson Boaz,UNC,QB,1,1,100.0,3,3.0,3,0,0,0,125.2
Brennan Presley,OKST,WR,1,1,100.0,3,3.0,3,0,0,0,125.2
Rickie Collins,LSU,QB,2,2,100.0,3,1.5,2,0,0,0,112.6
Keldric Luster,SMU,QB,1,2,50.0,3,1.5,3,0,0,0,62.6
Billy Edwards Jr.,MD,QB,4,10,40.0,2,0.2,3,0,1,0,21.7
Micah Davis,USU,WR,1,1,100.0,2,2.0,2,0,0,0,116.8
LJ Martin,BYU,RB,1,1,100.0,2,2.0,2,0,0,0,116.8
Ryan Sanborn,TEX,P,1,1,100.0,1,1.0,1,0,0,0,108.4
Stephen Kotsanlee,USU,P,1,1,100.0,1,1.0,1,0,0,0,108.4
Raheim Jeter,ECU,QB,1,2,50.0,1,0.5,1,0,0,0,54.2
Ryan Bujcevski,SMU,P,0,1,0.0,0,0.0,0,0,0,0,0.0
Trey Lowe,LIB,QB,0,3,0.0,0,0.0,0,0,0,0,0.0
Deshaun Fenwick,ORST,RB,0,1,0.0,0,0.0,0,0,0,0,0.0
Talik Keaton,MRSH,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Johnathan Bennett,LIB,QB,0,5,0.0,0,0.0,0,0,0,0,0.0
Joshua Cephus,UTSA,WR,0,1,0.0,0,0.0,0,0,1,1,-200.0
Luke McCaffrey,RICE,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Cole Kramer,MINN,QB,0,1,0.0,0,0.0,0,0,1,0,-200.0
Kobe Hudson,UCF,WR,0,1,0.0,0,0.0,0,0,0,1,0.0
Micah Bowens,CLT,QB,0,0,0.0,0,0.0,0,0,0,1,0.0
Drake Dabney,BAY,TE,0,1,0.0,0,0.0,0,0,0,0,0.0
Frank Gore Jr.,USM,RB,0,3,0.0,0,0.0,0,0,0,1,0.0
KeAndre Lambert-Smith,PSU,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Phil Mafah,CLEM,RB,0,1,0.0,0,0.0,0,0,0,0,0.0
Luke MacPhail,SYR,QB,0,1,0.0,0,0.0,0,0,1,0,-200.0
Khaleb Hood,GASO,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
RJ Harvey,UCF,RB,0,1,0.0,0,0.0,0,0,0,1,0.0
Ryan O'Keefe,BC,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Alexander Honig,CONN,TE,0,1,0.0,0,0.0,0,0,0,0,0.0
Malik Washington,UVA,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Michael Johnson Jr.,FAU,QB,0,1,0.0,0,0.0,0,0,0,0,0.0
Jermaine Brown Jr.,UAB,RB,0,1,0.0,0,0.0,0,0,0,0,0.0
Nick Nash,SJSU,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Brett Buckman,CONN,WR,0,0,0.0,0,0.0,0,0,0,1,0.0
Avery Boyd,GT,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Shawn Charles,ASU,WR,0,0,0.0,0,0.0,0,0,0,1,0.0
Dane Olson,CSU,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Jordan Moore,DUKE,WR,0,0,0.0,0,0.0,0,0,0,1,0.0
Caleb Hood,UNC,RB,0,1,0.0,0,0.0,0,0,0,0,0.0
Bucky Irving,ORE,RB,0,1,0.0,0,0.0,0,0,0,0,0.0
Montorie Foster Jr.,MSU,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Jaylin Lane,VT,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Devin Neal,KU,RB,0,1,0.0,0,0.0,0,0,0,0,0.0
Zahir Abdus-Salaam,WMU,RB,0,1,0.0,0,0.0,0,0,1,0,-200.0
Brady Olson,MASS,QB,0,3,0.0,0,0.0,0,0,1,0,-66.7
Justin Ibieta,TULN,QB,0,1,0.0,0,0.0,0,0,0,0,0.0
Charlie Pollock,MISS,P,0,1,0.0,0,0.0,0,0,1,0,-200.0
JP Richardson,TCU,WR,0,1,0.0,0,0.0,0,0,1,0,-200.0
AJ Duffy,FSU,QB,0,0,0.0,0,0.0,0,0,0,1,0.0
Trevor Etienne,FLA,RB,0,0,0.0,0,0.0,0,0,0,1,0.0
Justyn Martin,UCLA,QB,0,0,0.0,0,0.0,0,0,0,1,0.0
Tyson Riley,ARMY,RB,0,1,0.0,0,0.0,0,0,0,0,0.0
Kahleil Jackson,FLA,WR,0,1,0.0,0,0.0,0,0,1,0,-200.0
Ben Brittain,AFA,QB,0,2,0.0,0,0.0,0,0,2,0,-200.0
Zak Burnett,LIB,QB,0,3,0.0,0,0.0,0,0,0,0,0.0
Ollie Gordon II,OKST,RB,0,1,0.0,0,0.0,0,0,1,0,-200.0
Malachi Nelson,USC,QB,1,3,33.3,0,0.0,0,0,0,0,33.3
Creed Whittemore,MSST,WR,0,0,0.0,0,0.0,0,0,0,1,0.0
Davis Warren,MICH,QB,0,5,0.0,0,0.0,0,0,1,0,-40.0
Isaiah Hankins,BAY,PK,0,1,0.0,0,0.0,0,0,0,0,0.0
Tyrone Howell,ULM,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Jakarius Caston,USM,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Dalen Cobb,GASO,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Cam'Ron McCoy,EMU,QB,0,1,0.0,0,0.0,0,0,1,0,-200.0
Tiger Bachmeier,STAN,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
William Watson III,VT,QB,0,1,0.0,0,0.0,0,0,0,0,0.0
Israel Carter,USF,QB,0,1,0.0,0,0.0,0,0,0,0,0.0
Terrell Vaughn,USU,WR,0,1,0.0,0,0.0,0,0,1,0,-200.0
Jalen Royals,USU,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Tobin O'Dell,SDSU,QB,1,2,50.0,0,0.0,0,0,1,1,-50.0
Garrett Mmahat,TULN,WR,0,1,0.0,0,0.0,0,0,0,0,0.0
Navy Shuler,TENN,QB,1,1,100.0,-1,-1.0,0,0,0,0,91.6
Kyle Lowe,MTSU,QB,1,1,100.0,-1,-1.0,0,0,0,0,91.6
Jacob Cowing,ARIZ,WR,1,1,100.0,-2,-2.0,0,0,0,0,83.2
Zechariah Ramirez,SDSU,PK,1,1,100.0,-2,-2.0,-2,0,0,0,83.2
Bronson Barron,WKU,QB,1,2,50.0,-3,-1.5,0,0,1,1,-62.6
Andrew Schorfhaar,MSU,QB,1,1,100.0,-4,-4.0,-4,0,0,0,66.4
Braden Davis,SYR,QB,1,1,100.0,-6,-6.0,0,0,0,0,49.6
Jordan Nabors,BAY,WR,1,1,100.0,-6,-6.0,0,0,0,0,49.6
Kyre Duplessis,CCU,WR,1,2,50.0,-7,-3.5,0,0,0,0,20.6
LeQuint Allen,SYR,RB,1,2,50.0,-9,-4.5,0,0,0,0,12.2
Dewayne Coleman,ARMY,QB,1,1,100.0,-14,-14.0,11,0,0,0,-17.6
