Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Chris Paul Jr.,ARK,LB,25,42,67,2.0,8,1,0,0,0,0
Jake Chaney,WIS,LB,44,23,67,3.0,0,0,0,0,0,0
Trey Taylor,AFA,S,36,31,67,0.5,12,4,3,51,1,0
Malik Mustapha,WAKE,DB,36,31,67,0.5,6,2,1,50,0,1
Kavian Gaither,SHSU,LB,41,26,67,1.0,0,1,1,45,1,2
Andre' Sam,LSU,S,37,29,66,0.0,49,2,3,60,0,0
Walter Yates III,UCF,LB,41,25,66,0.0,3,2,0,0,0,0
Myron Morrison,RICE,LB,29,37,66,1.0,0,0,0,0,0,1
Yvandy Rigby,TEM,LB,31,35,66,0.0,0,1,0,0,0,0
Beau Brade,MD,DB,44,22,66,0.0,14,6,1,27,0,1
Langston Patterson,VAN,LB,34,32,66,1.0,0,0,1,22,0,1
Justin Abraham,GAST,LB,42,24,66,1.0,0,1,0,0,0,1
Jaylon Scott,NCSU,LB,23,43,66,2.0,0,3,0,0,0,1
Trey Jones,CMU,DB,37,29,66,0.0,46,2,1,0,0,1
Joseph Sipp Jr.,BGSU,LB,35,31,66,0.0,2,0,0,0,0,0
Fred Perry,JVST,S,45,21,66,0.0,29,4,1,18,0,3
DQ Smith,SC,DB,33,33,66,0.5,45,1,1,16,0,1
Levani Damuni,UTAH,LB,32,33,65,0.0,0,0,0,0,0,0
Keondre Swoopes,UAB,S,44,21,65,0.0,0,1,2,0,0,2
Evan Williams,ORE,DB,38,27,65,4.5,30,1,0,0,0,1
Geoffrey Cantin-Arku,MEM,LB,32,33,65,1.0,4,2,1,17,0,2
Tyrone Lewis Jr.,UL,S,34,31,65,0.5,0,2,3,0,0,0
Dalton Johnson,ARIZ,S,39,26,65,2.0,4,1,0,0,0,3
Marsel McDuffie,UNLV,LB,36,29,65,1.0,25,2,0,0,0,1
Devyn Bobby,BAY,S,45,20,65,0.0,0,4,1,0,0,1
Shamari Simmons,ASU,DB,48,17,65,1.0,0,5,1,0,0,0
Kamren Robinson,UVA,LB,43,22,65,1.0,21,1,2,28,1,0
Kendre' Gant,UL,LB,37,27,64,6.0,0,3,0,0,0,3
Rod Heard II,NU,DB,45,19,64,1.0,41,3,1,10,0,2
Jackson Bratton,UAB,LB,30,34,64,2.0,0,1,0,0,0,0
Tra Fluellen,MTSU,S,41,23,64,0.0,6,3,3,27,0,0
C.J. Baskerville,TTU,DB,46,18,64,0.0,0,5,1,4,0,0
Collin Oliver,OKST,LB,38,26,64,6.0,4,5,0,0,0,4
