Away Team,Home Team,Time,TV,Tickets
Bowling Green,@Western Michigan,7:00 PM,,Tickets as low as $6
Eastern Michigan,@Buffalo,7:30 PM,,Tickets as low as $23
13Ole Miss,@Mississippi State,7:30 PM,,Tickets as low as $17
TCU,@14Oklahoma,12:00 PM,FOX,Tickets as low as $39
16Iowa,@Nebraska,12:00 PM,CBS,Tickets as low as $61
Miami,@Boston College,12:00 PM,,Tickets as low as $11
Memphis,@Temple,12:00 PM,,Tickets as low as $5
Toledo,@Central Michigan,12:00 PM,,Tickets as low as $12
Ohio,@Akron,12:00 PM,CBSSN,Tickets as low as $9
UTSA,@24Tulane,3:30 PM,,Tickets as low as $3
Utah State,@New Mexico,3:30 PM,CBSSN,Tickets as low as $10
9Missouri,@Arkansas,4:00 PM,CBS,Tickets as low as $15
Air Force,@Boise State,4:00 PM,FS1,Tickets as low as $21
Texas Tech,@7Texas,7:30 PM,,Tickets as low as $101
12Penn State,@Michigan State,7:30 PM,NBC,Tickets as low as $21
11Oregon State,@6Oregon,8:30 PM,FOX,Tickets as low as $147
2Ohio State,@3Michigan,12:00 PM,FOX,Tickets as low as $452
Kentucky,@10Louisville,12:00 PM,,Tickets as low as $116
Texas A&M,@15LSU,12:00 PM,,Tickets as low as $44
Indiana,@Purdue,12:00 PM,BTN,Tickets as low as $25
Middle Tennessee,@Sam Houston,12:00 PM,,Tickets as low as $18
UConn,@Massachusetts,12:00 PM,,Tickets as low as $19
Pittsburgh,@Duke,12:00 PM,,Tickets as low as $10
Houston,@UCF,12:00 PM,FS1,Tickets as low as $6
Navy,@SMU,12:00 PM,,Tickets as low as $16
Troy,@Southern Miss,12:00 PM,,Tickets as low as $10
Northern Illinois,@Kent State,12:00 PM,,Tickets as low as $9
Miami (OH),@Ball State,12:00 PM,CBSSN,Tickets as low as $12
Florida Atlantic,@Rice,1:00 PM,,Tickets as low as $17
Wake Forest,@Syracuse,2:00 PM,CW NETWORK,Tickets as low as $5
Tulsa,@East Carolina,2:00 PM,,Tickets as low as $7
UAB,@North Texas,2:00 PM,,Tickets as low as $11
Georgia State,@Old Dominion,2:00 PM,,Tickets as low as $6
Colorado,@22Utah,3:00 PM,PAC12,Tickets as low as $62
Western Kentucky,@Florida International,3:00 PM,,Tickets as low as $7
UL Monroe,@Louisiana,3:00 PM,,Tickets as low as $29
San Jos� State,@UNLV,3:00 PM,,Tickets as low as $39
8Alabama,@Auburn,3:30 PM,CBS,Tickets as low as $223
17Arizona,@Arizona State,3:30 PM,,Tickets as low as $37
Vanderbilt,@18Tennessee,3:30 PM,,Tickets as low as $49
BYU,@23Oklahoma State,3:30 PM,,Tickets as low as $28
Northwestern,@Illinois,3:30 PM,BTN,Tickets as low as $3
Wisconsin,@Minnesota,3:30 PM,FS1,Tickets as low as $66
Maryland,@Rutgers,3:30 PM,BTN,Tickets as low as $17
Liberty,@UTEP,3:30 PM,CBSSN,Tickets as low as $5
Virginia Tech,@Virginia,3:30 PM,,Tickets as low as $74
Georgia Southern,@Appalachian State,3:30 PM,,Tickets as low as $100
James Madison,@Coastal Carolina,3:30 PM,,Tickets as low as $47
Arkansas State,@Marshall,3:30 PM,,Tickets as low as $13
Washington State,@5Washington,4:00 PM,FOX,Tickets as low as $198
Jacksonville State,@New Mexico State,4:00 PM,,Tickets as low as $19
4Florida State,@Florida,7:00 PM,,Tickets as low as $157
19Notre Dame,@Stanford,7:00 PM,PAC12,Tickets as low as $38
25Kansas,@Cincinnati,7:00 PM,,Tickets as low as $11
West Virginia,@Baylor,7:00 PM,FS1,Tickets as low as $3
South Alabama,@Texas State,7:00 PM,NFL NET,Tickets as low as $12
1Georgia,@Georgia Tech,7:30 PM,,Tickets as low as $106
Clemson,@South Carolina,7:30 PM,,Tickets as low as $165
Charlotte,@South Florida,7:30 PM,,Tickets as low as $6
20North Carolina,@NC State,8:00 PM,,Tickets as low as $107
Iowa State,@21Kansas State,8:00 PM,FOX,Tickets as low as $36
Wyoming,@Nevada,9:00 PM,CBSSN,Tickets as low as $10
California,@UCLA,10:30 PM,,Tickets as low as $35
Fresno State,@San Diego State,10:30 PM,FS1,Tickets as low as $27
Colorado State,@Hawai'i,11:00 PM,,Tickets as low as $20
