Player,School,POS,REC,YDS,AVG,LNG,TD
Jahmal Banks,WAKE,WR,59,653,11.1,33,4
Lawrence Arnold,KU,WR,38,650,17.1,80,3
Logan Loya,UCLA,WR,58,650,11.2,49,5
Roman Wilson,MICH,WR,40,648,16.2,47,11
Amad Anderson Jr.,TEM,WR,37,647,17.5,75,3
Rashod Owens,OKST,WR,49,646,13.2,45,1
Donaven McCulley,IU,WR,48,644,13.4,69,6
Jalon Calhoun,DUKE,WR,48,642,13.4,69,4
Theo Wease Jr.,MIZ,WR,45,639,14.2,77,6
Keon Coleman,FSU,WR,46,639,13.9,58,11
Jalil Farooq,OU,WR,41,637,15.5,49,2
Chris Lewis,TROY,WR,29,637,22.0,64,9
Elijah Metcalf,MTSU,WR,54,634,11.7,71,6
Bryce Kirtz,NU,WR,44,633,14.4,80,4
Jalen Moss,FRES,WR,51,630,12.4,60,5
Deion Burks,PUR,WR,47,629,13.4,84,7
Micah Davis,USU,WR,36,628,17.4,76,6
Gage Larvadain,M-OH,WR,36,625,17.4,99,6
Monaray Baldwin,BAY,WR,38,623,16.4,71,4
Chase Sowell,ECU,WR,47,622,13.2,45,1
Jakarius Caston,USM,WR,33,621,18.8,80,6
Taylor Morin,WAKE,WR,41,617,15.0,61,2
Lewis Bond,BC,WR,48,611,12.7,42,7
Chrishon McCray,KENT,WR,41,610,14.9,42,4
Kaden Prather,MD,WR,41,609,14.9,43,5
Perry Carter,JVST,WR,34,603,17.7,63,3
Sam Wiglusz,OHIO,WR,50,600,12.0,38,3
Lawrence Keys III,TULN,WR,33,599,18.2,57,7
Miles Cross,OHIO,WR,47,599,12.7,42,5
Corey Rucker,ARST,WR,31,598,19.3,68,0
Johnny Wilson,FSU,WR,39,596,15.3,44,2
Dalevon Campbell,NEV,WR,31,594,19.2,53,2
Devaughn Vele,UTAH,WR,43,593,13.8,68,3
Ramel Keyton,TENN,WR,32,591,18.5,60,6
Tyrone Howell,ULM,WR,49,590,12.0,46,7
Phillip Brooks,KSU,WR,53,589,11.1,40,5
Bryson Nesbit,UNC,TE,41,585,14.3,62,5
Tailique Williams,GAST,WR,46,581,12.6,78,5
Naiem Simmons,USF,WR,35,581,16.6,53,5
Justin Joly,CONN,TE,56,578,10.3,59,2
Joseph Manjack IV,HOU,WR,46,577,12.5,49,6
Cade Stover,OSU,TE,41,576,14.0,49,5
Montorie Foster Jr.,MSU,WR,43,576,13.4,42,3
Konata Mumpfield,PITT,WR,44,576,13.1,82,5
Jasaiah Gathings,AKR,WR,55,575,10.5,39,1
Savion Williams,TCU,WR,41,573,14.0,42,4
Chase Roberts,BYU,WR,42,573,13.6,59,5
Harold Fannin Jr.,BGSU,TE,39,573,14.7,56,6
Jerjuan Newton,TOL,WR,43,570,13.3,42,9
Jimmy Horn Jr.,COLO,WR,58,567,9.8,45,6
Colbie Young,MIA,WR,47,563,12.0,57,5
Pat Bryant,ILL,WR,43,560,13.0,46,7
Braden Smith,CIN,WR,43,557,13.0,48,4
Dane Key,UK,WR,38,553,14.6,44,5
Drake Dabney,BAY,TE,33,552,16.7,63,5
Cameron Ross,CONN,WR,44,552,12.5,46,2
Dominic Lovett,UGA,WR,49,552,11.3,55,3
Caleb Medford,UNM,WR,30,551,18.4,59,2
Jeremiah Ballard,UTEP,WR,34,551,16.2,50,1
Colston Loveland,MICH,TE,37,550,14.9,54,4
Isaiah Bond,ALA,WR,39,542,13.9,52,4
Eugene Wilson III,FLA,WR,61,538,8.8,30,6
David Martin-Robinson,TEM,TE,40,537,13.4,47,4
Ashton Jeanty,BOIS,RB,37,537,14.5,75,5
JP Richardson,TCU,WR,46,536,11.7,59,3
Deshon Stoudemire,TROY,WR,39,534,13.7,51,1
Daniel George,AKR,WR,52,529,10.2,50,1
Damien Alford,SYR,WR,29,527,18.2,47,3
