Player,School,POS,REC,YDS,AVG,LNG,TD
Carlos Hernandez,WSU,WR,24,258,10.8,48,0
Justin Robinson,MSST,WR,21,257,12.2,30,0
Joshua Simon,SC,TE,28,256,9.1,33,2
Quinton Lane,JVST,WR,23,256,11.1,30,1
Jordan Brown,TTU,WR,22,256,11.6,46,1
Kyle Morlock,FSU,TE,19,255,13.4,63,0
Dillon Bell,UGA,WR,22,254,11.5,24,2
Luke Hasz,ARK,TE,16,253,15.8,59,3
Christian Fitzpatrick,MSU,WR,18,252,14.0,72,1
Jaden Greathouse,ND,WR,16,252,15.8,48,5
Noah Short,ARMY,WR,18,252,14.0,80,2
Nick Cenacle,HAW,WR,23,252,11.0,52,1
Munir McClain,UTAH,WR,14,251,17.9,49,2
Jayden Thomas,ND,WR,17,251,14.8,39,1
Kahleil Jackson,FLA,WR,21,251,12.0,45,1
Cooper Mathers,WSU,TE,21,251,12.0,39,1
Ryan Davis,UNM,WR,20,250,12.5,41,1
O'Mega Blake,SC,WR,19,250,13.2,41,2
Darryle Simmons,MRSH,WR,24,249,10.4,31,0
Darvon Hubbard,TEM,RB,27,249,9.2,37,0
Oscar Delp,UGA,TE,20,249,12.4,41,3
Keyon Lesane,NCSU,WR,28,247,8.8,38,0
Jaylin Lucas,IU,RB,34,247,7.3,44,2
Dee Wiggins,CIN,WR,20,246,12.3,39,2
Warren Thompson,TCU,WR,19,246,12.9,33,2
Jesiah Irish,ORST,WR,15,246,16.4,38,1
Dante Cephas,PSU,WR,22,246,11.2,26,2
Jadon Jackson,KSU,WR,17,244,14.4,40,2
Duane Thomas Jr.,CLT,WR,24,244,10.2,51,0
Malikhi Miller,SJSU,WR,20,243,12.1,25,1
Garrett Miller,PUR,TE,30,243,8.1,28,2
Will Kacmarek,OHIO,TE,22,243,11.0,36,2
Anthony Landphere,MEM,TE,26,242,9.3,21,2
E.J. Smith,STAN,RB,33,242,7.3,53,0
Bryce Damous,UAB,TE,24,242,10.1,42,3
Stefan Cobbs,BOIS,WR,23,241,10.5,40,1
Brevyn Spann-Ford,MINN,TE,25,239,9.6,31,2
JoJo Earle,TCU,WR,16,239,14.9,48,2
Benjamin Yurosek,STAN,TE,16,239,14.9,32,1
Yulkeith Brown,TULN,WR,23,238,10.3,37,1
Alex Bauman,TULN,TE,29,237,8.2,39,5
Jaylen Lloyd,NEB,WR,6,237,39.5,73,3
Prince Strachan,BOIS,WR,9,237,26.3,74,2
AJ Barner,MICH,TE,21,236,11.2,22,1
Montrell Johnson Jr.,FLA,RB,30,236,7.9,19,1
Drae McCray,TTU,WR,26,236,9.1,44,2
Will Shipley,CLEM,RB,29,235,8.1,36,2
Ryan O'Keefe,BC,WR,23,235,10.2,38,1
Jake Johnson,TA&M,TE,24,235,9.8,28,4
Daniel Jackson,ISU,WR,14,235,16.8,39,2
Jordin Parker,NMSU,WR,6,235,39.2,63,3
Jimmy Calloway,LOU,WR,19,234,12.3,34,0
Marcus Carroll,GAST,RB,23,234,10.2,49,0
Omarion Miller,COLO,WR,11,234,21.3,65,1
Jimmy Holiday,WKU,WR,16,233,14.6,39,2
MarShawn Lloyd,USC,RB,13,232,17.8,54,0
Kendall Karr,CCU,TE,21,232,11.0,32,4
Caleb McMillan,MRSH,WR,15,231,15.4,75,2
Jake Roberts,BAY,TE,23,231,10.0,37,1
RJ Harvey,UCF,RB,17,231,13.6,50,2
Nakia Watson,WSU,RB,24,230,9.6,37,3
Ja'Khi Douglas,FSU,WR,12,230,19.2,62,0
Donovan Edwards,MICH,RB,26,230,8.8,37,0
Traylon Ray,WVU,WR,15,230,15.3,49,2
Jordan Smart,UNT,WR,19,230,12.1,59,1
Brandon Chatman,NAVY,RB,17,230,13.5,58,0
TreVeyon Henderson,OSU,RB,19,229,12.1,65,0
Nico Ragaini,IOWA,WR,26,227,8.7,29,0
Jacari Carter,GAST,WR,34,227,6.7,23,0
Torrance Burgess Jr.,UTEP,RB,17,227,13.4,51,0
Xavier Guillory,ASU,WR,21,226,10.8,47,1
Alec Holler,UCF,TE,22,225,10.2,38,2
Jawhar Jordan,LOU,RB,18,225,12.5,75,1
Terrance Carter,UL,TE,25,225,9.0,35,3
Dont'e Thornton Jr.,TENN,WR,13,224,17.2,47,1
Josh Cameron,BAY,WR,21,224,10.7,24,0
Troy Omeire,ASU,WR,20,223,11.1,31,3
Kyre Duplessis,CCU,WR,14,223,15.9,64,1
Colby Bowman,USU,WR,9,222,24.7,63,2
T.J. Jones,UAB,WR,15,222,14.8,72,2
Nicholas Singleton,PSU,RB,22,222,10.1,53,1
NyNy Davis,ULM,WR,28,222,7.9,51,2
Hal Presley,BAY,WR,17,222,13.1,47,0
Frank Gore Jr.,USM,RB,27,221,8.2,33,3
Jaylon Jackson,EMU,RB,22,221,10.0,68,2
Alex Bullock,NEB,WR,15,221,14.7,34,1
Elijah Smoot,LIB,WR,11,221,20.1,42,2
Ron Cook Jr.,BUFF,RB,29,220,7.6,26,1
Tyler Foster,OHIO,TE,19,220,11.6,50,0
Bhayshul Tuten,VT,RB,25,220,8.8,30,2
Bru McCoy,TENN,WR,17,217,12.8,55,1
Keelan Marion,BYU,WR,20,216,10.8,37,0
Ian Strong,RUTG,WR,15,216,14.4,29,2
Omarion Hampton,UNC,RB,26,215,8.3,29,1
Joseph Himon II,NU,RB,16,215,13.4,85,1
Randy Pittman,UCF,TE,19,215,11.3,39,1
Cade Conley,MRSH,TE,23,215,9.3,27,1
Sam Olson,SJSU,TE,18,214,11.9,56,2
Devin Neal,KU,RB,24,214,8.9,59,1
Geordon Porter,CONN,WR,22,213,9.7,28,1
Abdul-Fatai Ibrahim,BGSU,WR,19,213,11.2,33,2
Rasheen Ali,MRSH,RB,28,213,7.6,65,1
Trey Benson,FSU,RB,18,212,11.8,80,1
DJ Thomas-Jones,USA,TE,24,212,8.8,33,3
Ahmarian Granger,ODU,WR,14,210,15.0,40,1
Chuck Montgomery,MRSH,WR,18,210,11.7,19,3
Javon Antonio,COLO,WR,17,209,12.3,43,2
Bradley Rozner,NCSU,WR,18,208,11.6,21,2
Broc Lane,USU,TE,21,208,9.9,27,1
Bryce Kennon,CLT,TE,16,208,13.0,36,1
Nolan Quinlan,ULM,TE,17,207,12.2,41,1
Melquan Stovall,ASU,WR,18,207,11.5,34,0
Parker Kingston,BYU,WR,19,207,10.9,42,1
Jordan Faison,ND,WR,14,207,14.8,45,3
Larry McCammon,FAU,RB,25,205,8.2,55,0
Samario Rudolph,UAB,WR,25,205,8.2,18,1
Sahmir Hagans,DUKE,WR,25,205,8.2,19,0
Carsen Ryan,UCLA,RB,13,205,15.8,45,3
Casey Reynolds,ARMY,WR,13,205,15.8,69,0
Quincy Skinner Jr.,VAN,WR,20,204,10.2,34,3
Adam Randall,CLEM,WR,17,204,12.0,34,0
Kaelon Black,JMU,RB,21,204,9.7,34,3
Kyle Ford,UCLA,WR,17,203,11.9,37,0
Tip Reiman,ILL,TE,19,203,10.7,42,3
Sione Vaki,UTAH,S,11,203,18.5,53,3
Bentley Hanshaw,LIB,TE,17,202,11.9,24,5
Josiah Freeman,FRES,WR,16,202,12.6,29,0
Kenan Christon,SDSU,RB,29,201,6.9,16,1
EJ Horton,WVU,WR,10,201,20.1,45,1
Braylen Walker,RICE,WR,13,200,15.4,36,2
Star Thomas,NMSU,RB,20,200,10.0,21,2
Elijah Young,WKU,RB,17,199,11.7,72,2
Jaedon Wilson,ARK,WR,15,199,13.3,65,2
Mudia Reuben,STAN,WR,15,199,13.3,38,0
Dawson Pendergrass,BAY,RB,26,199,7.7,26,2
Kimani Vidal,TROY,RB,17,198,11.6,44,1
Jordan Dingle,UK,TE,11,198,18.0,59,0
Braydon Bennett,CCU,RB,21,198,9.4,63,0
Craig Burt Jr.,WKU,WR,21,198,9.4,32,3
De'Zhaun Stribling,OKST,WR,14,198,14.1,30,1
Davis Patterson,NIU,WR,16,197,12.3,28,0
Kairee Robinson,SJSU,RB,16,197,12.3,63,2
Malique Dieudonne,WMU,WR,20,197,9.9,39,0
Major Everhart,TCU,WR,20,197,9.9,22,0
LeQuint Allen,SYR,RB,36,197,5.5,26,1
Austin Stogner,OU,TE,17,196,11.5,35,1
Keagan Johnson,KSU,WR,21,196,9.3,20,2
Max Klare,PUR,TE,22,196,8.9,27,0
Adam Jones,ARST,WR,11,195,17.7,55,1
Tyrell Henry,MSU,WR,24,195,8.1,28,3
Nyck Harbor,SC,WR,12,195,16.3,45,1
Brett Norfleet,MIZ,TE,17,195,11.5,27,3
Terrell Timmons Jr.,NCSU,WR,11,195,17.7,47,0
Jonah Panoke,HAW,WR,20,194,9.7,24,1
Duece Jones,UNM,WR,8,194,24.3,78,1
Isaac Guerendo,LOU,RB,17,192,11.3,25,0
Bryce Farrell,STAN,WR,22,192,8.7,26,1
Octavian Smith Jr.,MD,WR,21,192,9.1,31,1
Antonio Williams,CLEM,WR,17,192,11.3,33,2
Cody Schrader,MIZ,RB,22,191,8.7,43,0
Tyrin Smith,UTEP,WR,19,191,10.1,24,1
Dallas Payne,UAB,TE,18,190,10.6,31,0
Peny Boone,TOL,RB,13,189,14.5,47,1
Charles Robertson,UL,WR,17,189,11.1,43,0
Alex Adams,AKR,WR,22,188,8.5,29,2
Jaden Williams,BC,WR,12,188,15.7,47,1
Simeon Evans,SHSU,QB,22,188,8.5,19,0
Justin Holmes,KENT,TE,20,188,9.4,41,0
Dylan Wright,TCU,WR,11,187,17.0,36,2
Keanu Hill,BYU,WR,12,187,15.6,50,1
Max Wright,TA&M,TE,15,185,12.3,51,1
Aaron Bedgood,LIB,WR,17,185,10.9,29,2
Lawrance Toafili,FSU,RB,21,185,8.8,41,1
Greg Desrosiers Jr.,MASS,RB,15,185,12.3,40,2
Patrick Herbert,ORE,TE,14,184,13.1,49,3
Emani Bailey,TCU,RB,25,184,7.4,24,1
RJ Garcia II,KSU,WR,14,184,13.1,44,1
Alred Luke,ULM,WR,16,184,11.5,36,1
Jaylon Barden,GASO,WR,16,183,11.4,43,1
Javon Ivory,USA,WR,16,183,11.4,39,1
Semaj Morgan,MICH,WR,17,183,10.8,35,2
Jacob Warren,TENN,TE,15,182,12.1,34,4
Reagan Ealy,ARST,WR,18,182,10.1,33,1
Devin Culp,WASH,TE,14,181,12.9,30,2
Kordell David,NMSU,WR,17,181,10.6,24,1
Dan Villari,SYR,TE,20,180,9.0,37,3
Devin Mockobee,PUR,RB,19,180,9.5,38,1
Michael Pettway,JVST,WR,16,180,11.3,37,1
Nik McMillan,BUFF,WR,13,180,13.8,33,1
Trent Pennix,NCSU,TE,14,179,12.8,62,3
Malik Sherrod,FRES,RB,36,179,5.0,29,1
Keleki Latu,NEV,TE,14,179,12.8,30,0
K.D. Hutchinson,WKU,WR,19,179,9.4,45,1
Cade Harris,AFA,WR,5,179,35.8,65,1
Josiah Norwood,UCLA,WR,12,178,14.8,81,2
Yusuf Terry,USF,WR,8,178,22.3,50,1
Christion Carter,NIU,TE,12,178,14.8,33,2
Chas Nimrod,TENN,WR,17,178,10.5,39,1
Brandon Engel,AFA,WR,10,178,17.8,39,0
Dominic Dutton,ODU,WR,6,178,29.7,58,4
Marcus Washington,NEB,WR,8,176,22.0,56,0
Holden Staes,ND,TE,15,176,11.7,40,4
Kobe Pace,UVA,RB,19,176,9.3,75,3
Karter Johnson,PITT,TE,12,175,14.6,50,2
Gunnar Helm,TEX,TE,12,175,14.6,31,2
Dylan Sampson,TENN,RB,17,175,10.3,37,1
Ryan Rivera,LT,TE,13,174,13.4,21,0
Ty Son Lawton,JMU,RB,19,174,9.2,20,1
Keaton Upshaw,GASO,TE,16,173,10.8,27,2
Kyron Hudson,USC,WR,15,173,11.5,33,1
Josh Williams,LSU,RB,11,172,15.6,45,1
Trevor Wilson,KU,WR,10,172,17.2,58,2
Trevor Etienne,FLA,RB,21,172,8.2,41,1
Mason Pierce,MRSH,WR,16,171,10.7,23,0
Ty Washington,ARK,TE,11,170,15.5,34,2
Christian Wells,MASS,WR,11,169,15.4,68,1
Chris Hilton Jr.,LSU,WR,10,169,16.9,47,1
Drew Donley,TXST,WR,11,169,15.4,42,1
Dacari Collins,NCSU,WR,12,168,14.0,30,2
Jo'Quavious Marks,MSST,RB,23,167,7.3,32,2
Porter Rooks,NCSU,WR,13,166,12.8,26,0
Landen King,UTAH,TE,14,166,11.9,28,3
Isaiah Jones,SYR,WR,9,166,18.4,44,2
Jeremiah Franklin,BC,TE,12,166,13.8,30,1
Rocky Beers,FIU,TE,18,166,9.2,32,1
Bryce Childress,NMSU,WR,7,165,23.6,75,1
Lincoln Sefcik,USA,TE,17,165,9.7,24,1
Edward Saydee,TEM,RB,18,164,9.1,17,2
Kobie Campbell,RICE,WR,10,164,16.4,70,1
Josh Cuevas,WASH,TE,4,164,41.0,57,1
Josiah Johnson,OKST,TE,21,163,7.8,29,1
Isaiah Hamilton,WSU,WR,15,163,10.9,39,1
Marquez Cooper,BALL,RB,18,163,9.1,26,0
Kam Brown,UCLA,WR,13,163,12.5,67,1
Julian Gray,NCSU,WR,15,163,10.9,64,1
Carson Steele,UCLA,RB,17,163,9.6,19,2
Finn Hogan,BGSU,WR,11,163,14.8,50,1
Malik Benson,ALA,WR,13,162,12.5,33,1
Griffin Moore,ILL,TE,12,161,13.4,46,1
Harrison Wallace III,PSU,WR,15,161,10.7,21,0
Jalen Buckley,WMU,RB,18,161,8.9,49,0
Marlion Jackson,LT,WR,12,161,13.4,30,0
Cameron Hite,WAKE,TE,13,160,12.3,69,2
CJ Dippre,ALA,TE,8,160,20.0,45,0
Sieh Bangura,OHIO,RB,18,159,8.8,29,1
Elijah Sohn,SHSU,TE,15,159,10.6,28,2
Willie McCoy,UTSA,WR,17,159,9.4,20,2
Kamari Morales,UNC,TE,11,158,14.4,55,0
Daijun Edwards,UGA,RB,17,158,9.3,26,0
Kevin Davis,M-OH,RB,14,158,11.3,46,1
Brenen Thompson,OU,WR,5,158,31.6,54,1
Jeremy Tate Jr.,MTSU,WR,11,157,14.3,40,2
Easton Dean,ISU,TE,15,156,10.4,66,2
Kelley Joiner,USF,RB,12,156,13.0,62,2
Josiah Miamen,FIU,TE,14,156,11.1,38,0
Mason Tharp,TTU,TE,15,156,10.4,28,3
Preston Howard,MD,TE,12,155,12.9,33,0
Mario Anderson,SC,RB,22,153,7.0,20,1
Dominic Richardson,BAY,RB,21,152,7.2,18,1
Shawn Harris Jr.,MASS,WR,16,152,9.5,24,0
Tyler Morris,MICH,WR,11,152,13.8,26,0
CJ Beasley,CCU,RB,15,151,10.1,26,0
George Holani,BOIS,RB,15,151,10.1,39,0
Jamal Haynes,GT,RB,20,151,7.6,46,1
Joey Gatewood,LOU,TE,9,150,16.7,34,3
TJ Banks,AKR,TE,19,150,7.9,21,1
Ryan Marquez,WYO,WR,11,150,13.6,44,1
Seth Anderson,IOWA,WR,11,150,13.6,36,1
Hayden Hansen,FLA,TE,12,150,12.5,38,2
John Adams,TEM,WR,15,149,9.9,31,2
Freddie Roberson,MSST,WR,11,149,13.5,36,1
Cadarrius Thompson,GAST,WR,20,149,7.4,31,1
Blake Daniels,EMU,TE,13,149,11.5,37,0
Nicky Dalmolin,DUKE,TE,13,148,11.4,21,0
Caleb Burton III,AUB,WR,11,148,13.5,45,0
Mekhi Miller,MIZ,WR,11,148,13.5,31,1
Kaleb Webb,TENN,WR,14,148,10.6,28,1
Jalen Hale,ALA,WR,5,148,29.6,51,1
C.J. Williams,WIS,WR,15,148,9.9,20,0
Jax Sherrard,SHSU,TE,12,147,12.3,44,1
Xavier Johnson,OSU,WR,11,147,13.4,40,0
Jacoby Jones,OHIO,WR,8,147,18.4,42,0
Michael Jackson III,USC,WR,17,146,8.6,16,1
Jack Bech,TCU,WR,12,146,12.2,34,0
Dane Pardridge,NIU,WR,10,146,14.6,44,1
Jalen Johnson,NIU,WR,16,146,9.1,24,1
Reese Clark,TEM,TE,18,145,8.1,28,1
Moussa Barry,WKU,WR,9,145,16.1,51,1
La'Damian Webb,USA,RB,24,144,6.0,19,1
Jaiden Credle,MTSU,RB,24,144,6.0,17,1
Bobby Golden,AKR,WR,17,144,8.5,22,0
Rweha Munyagi Jr.,ORST,WR,7,143,20.4,37,1
Weston Wolff,USF,TE,14,143,10.2,32,0
Hudson Habermehl,UCLA,TE,7,142,20.3,45,2
Audric Estime,ND,RB,17,142,8.4,22,0
Kaleb Brown,IOWA,WR,14,142,10.1,31,1
Jayden Dixon-Veal,PUR,WR,16,142,8.9,29,1
Gavin Williams,NIU,RB,22,141,6.4,18,0
Jaylen Wright,TENN,RB,22,141,6.4,20,0
Sackett Wood Jr.,UVA,TE,9,141,15.7,28,0
Jaydn Ott,CAL,RB,21,141,6.7,48,2
Matt Lauter,BOIS,TE,8,141,17.6,59,2
Dillon Johnson,WASH,RB,18,141,7.8,20,0
Mekhi Mews,UGA,WR,12,141,11.8,54,1
Dimitri Stanley,ISU,WR,15,139,9.3,32,0
Monroe Young,CAL,WR,13,139,10.7,34,0
Malachi Coleman,NEB,WR,8,139,17.4,44,1
Bryce Pierre,ASU,TE,17,139,8.2,20,0
Davion Ervin-Poindexter,WKU,RB,18,138,7.7,18,1
Jhari Patterson,ECU,WR,20,137,6.8,30,0
Markeston Douglas,FSU,TE,11,136,12.4,42,2
Ethan Conner,TROY,TE,13,136,10.5,19,4
Ahmon Green,GAST,TE,17,135,7.9,29,4
Tychaun Chapman,UNC,WR,7,135,19.3,45,1
Quinshon Judkins,MISS,RB,21,135,6.4,25,1
Miles Marshall,M-OH,WR,9,134,14.9,38,0
Diante Vines,IOWA,WR,12,134,11.2,36,1
Kendrick Law,ALA,WR,13,134,10.3,34,0
Ja'Cyais Credle,GAST,WR,13,134,10.3,41,0
Shane Hooks,AUB,WR,9,133,14.8,32,2
Talik Keaton,MRSH,WR,12,133,11.1,25,0
Devin Maddox,TOL,WR,16,133,8.3,47,1
Isaac Jernagin,SJSU,WR,12,133,11.1,42,2
Nate Kurisky,LOU,TE,15,133,8.9,23,2
Caleb Douglas,FLA,WR,11,133,12.1,34,1
Giovanni Sanders,ASU,WR,15,133,8.9,23,0
Sedrick Alexander,VAN,RB,18,133,7.4,21,0
Tyrone Tracy Jr.,PUR,RB,19,132,6.9,52,0
Chase Curtis,TCU,TE,15,132,8.8,36,1
Ja'Quez Cross,ARST,RB,21,132,6.3,18,0
Emari White,UTEP,WR,8,132,16.5,54,0
Camryn Edwards,CONN,RB,15,132,8.8,26,1
Luke Lachey,IOWA,TE,10,131,13.1,35,0
Justin Ball,VAN,TE,15,131,8.7,27,1
Braelon Allen,WIS,RB,28,131,4.7,24,0
Jordan Waters,DUKE,RB,7,130,18.6,46,0
Chandler Pittman,USM,RB,16,130,8.1,31,0
Treshaun Ward,KSU,RB,17,129,7.6,33,2
Emmanual Stevenson,ARST,TE,18,129,7.2,17,2
Isaiah Sategna,ARK,WR,15,129,8.6,35,2
Landon Parker,TROY,WR,8,128,16.0,29,1
Addison Ostrenga,IOWA,TE,22,128,5.8,13,2
Dylan Leonard,GT,TE,13,127,9.8,23,1
Sterling Galban,JVST,WR,11,126,11.5,23,1
Jase McClellan,ALA,RB,13,126,9.7,42,0
Kenny Tracy,M-OH,RB,10,126,12.6,39,1
Dane Kinamon,AFA,WR,5,126,25.2,94,2
Frank Peasant,MTSU,RB,16,126,7.9,30,0
Damien Martinez,ORST,RB,11,126,11.5,25,0
Josh Henderson,IU,RB,10,125,12.5,22,1
Javonte Sherman,MTSU,WR,19,125,6.6,17,0
Jalen Walthall,HAW,WR,10,125,12.5,38,1
Chris Carter,TULN,TE,11,124,11.3,26,2
Dominic Gicinto,UNLV,WR,7,124,17.7,43,1
Tar'Varish Dawson,COLO,WR,14,124,8.9,30,1
Phillippe Wesley II,SDSU,WR,11,124,11.3,17,0
Johntay Cook II,TEX,WR,7,124,17.7,51,0
Clayton Ollendieck,TROY,TE,10,124,12.4,30,2
Jake Newell,AKR,TE,13,124,9.5,29,1
Luke Doty,SC,QB,13,123,9.5,36,1
Jaden Nixon,OKST,RB,12,123,10.3,60,1
Abdul Janneh,GT,WR,6,122,20.3,33,2
Braylin Presley,TLSA,RB,11,122,11.1,32,0
Kenny Johnson,PITT,WR,15,122,8.1,34,1
Johnny Langan,RUTG,TE,14,121,8.6,30,0
Tsion Nunnally,WSU,WR,3,121,40.3,72,1
Eddie Lewis,SC,WR,9,120,13.3,46,0
Devin Price,FAU,WR,7,120,17.1,34,1
Elijah Gilliam,FRES,RB,11,120,10.9,32,1
Shane Calhoun,ECU,TE,15,119,7.9,17,2
Garrett Oakley,KSU,TE,9,119,13.2,28,2
Ashton Hollins,ILL,WR,9,119,13.2,30,0
Matthew Coleman,SJSU,WR,12,119,9.9,29,0
Blue Smith,WKU,WR,10,118,11.8,21,1
Kay'Ron Lynch-Adams,MASS,RB,20,118,5.9,21,0
Jacquez Stuart,TOL,RB,9,118,13.1,59,1
Jaden Dottin,TOL,WR,10,118,11.8,23,1
Dakereon Joyner,SC,RB,21,117,5.6,27,0
Konner Fox,TXST,TE,10,117,11.7,41,1
OJ Arnold,GASO,RB,9,117,13.0,44,0
Jaedn Skeete,BC,WR,10,117,11.7,34,1
Jackson McDonald,FIU,TE,11,116,10.5,23,0
P.J. Wells,JVST,WR,10,116,11.6,29,0
Benji Gosnell,VT,TE,10,116,11.6,23,0
C.J. Smith,UGA,WR,6,116,19.3,47,0
Kaden Feagin,ILL,RB,9,116,12.9,54,1
TJ Harden,UCLA,RB,15,116,7.7,25,1
Malcolm Epps,PITT,TE,9,115,12.8,36,0
Jadon Thompson,LOU,WR,9,115,12.8,37,1
Payten Singletary,CIN,TE,12,115,9.6,32,2
Martin Blake,SDSU,RB,10,115,11.5,33,0
Luke McGary,TLSA,TE,9,115,12.8,24,3
Baylor Cupp,TTU,TE,11,114,10.4,19,2
Evan Prater,CIN,WR,12,114,9.5,22,0
Isaiah Horton,MIA,WR,8,114,14.3,52,1
Miller McCrumby,ARST,TE,12,114,9.5,21,0
Malachai Jones,TLSA,WR,9,113,12.6,31,1
Joshua Nicholson,SDSU,WR,13,113,8.7,21,1
Jeremiah Noga,ORST,WR,8,113,14.1,31,1
Hayden Rucci,WIS,TE,10,112,11.2,45,0
Trey Cooley,GT,RB,11,112,10.2,55,1
Ethan Payne,MRSH,RB,15,112,7.5,35,0
Myles Bailey,CMU,RB,14,112,8.0,23,0
Nate Jones,LT,TE,13,112,8.6,33,0
Kentrel Bullock,USA,RB,14,111,7.9,30,1
Ty Robinson,BALL,WR,6,111,18.5,27,1
Jarquez Hunter,AUB,RB,16,111,6.9,47,0
Luke Wysong,UNM,WR,7,110,15.7,41,1
Jonah Burton,BAY,WR,9,110,12.2,27,0
Jahiem White,WVU,RB,3,110,36.7,75,2
Tyrone Broden,ARK,WR,15,109,7.3,19,3
Thomas Gordon,NU,TE,12,109,9.1,18,1
Josh Kattus,UK,TE,8,108,13.5,28,2
Perris Jones,UVA,RB,6,107,17.8,60,0
C'Bo Flemister,PITT,RB,8,106,13.3,61,1
Isaah Crocker,NEV,WR,4,106,26.5,55,1
Wyatt Wilson,AFA,WR,5,106,21.2,38,0
Landon Sims,HAW,RB,14,106,7.6,21,0
Iverson Hooks,UAB,WR,10,106,10.6,20,2
Ryan Cragun,UCLA,WR,10,105,10.5,27,0
Chase Lane,GT,WR,7,105,15.0,48,1
Blake Nowell,TCU,WR,11,105,9.5,20,1
Phil Mafah,CLEM,RB,19,105,5.5,19,0
Liam Clifford,PSU,WR,10,105,10.5,33,0
Thomaz Whitford,NMSU,TE,10,105,10.5,20,2
Juju McDowell,SC,RB,11,105,9.5,27,1
Peyton Higgins,TROY,WR,8,104,13.0,32,0
Tyson Mobley,CCU,WR,7,104,14.9,33,0
Cam Porter,NU,RB,19,104,5.5,17,1
BJ Alexander,FAU,WR,10,104,10.4,23,1
Giles Jackson,WASH,WR,13,103,7.9,26,1
Austin Bolt,BOIS,WR,4,103,25.8,42,1
Logan Kyle,VAN,TE,11,103,9.4,28,0
Brandon Buckhaulter,UAB,WR,5,103,20.6,75,1
Nathan Carter,MSU,RB,22,103,4.7,21,0
Jimmy Valsin III,ORST,WR,8,103,12.9,20,1
Jordyn Bailey,TCU,WR,5,103,20.6,34,1
Cameron Zeidler,NEV,TE,10,103,10.3,21,1
Robert Henry,UTSA,RB,17,103,6.1,14,0
Blaine Green,OKST,WR,13,102,7.8,24,0
Sutton Smith,MEM,RB,16,102,6.4,22,1
Creed Whittemore,MSST,WR,11,102,9.3,33,2
Donerio Davenport,TXST,RB,11,102,9.3,27,2
Sean Shaw Jr.,TXST,WR,12,101,8.4,14,0
Brian Hightower,CAL,WR,10,101,10.1,20,0
Brett Seither,GT,TE,7,101,14.4,35,4
Rueben Owens,TA&M,RB,11,101,9.2,26,0
Braylon McReynolds,USA,RB,15,101,6.7,26,0
Juma Otoviano,RICE,RB,12,100,8.3,35,0
Kobe Lewis,FAU,RB,18,100,5.6,22,0
Nick Rempert,TLSA,WR,9,100,11.1,40,1
Bryce Bohanon,TULN,WR,7,100,14.3,22,0
Barry Jackson Jr.,CIN,WR,4,100,25.0,65,1
Thomas Pannunzio,CMU,WR,12,99,8.3,49,1
Kamrean Johnson,VAN,TE,10,99,9.9,17,2
Jamarye Joiner,JVST,WR,9,98,10.9,22,0
Izayah Cummings,UK,TE,4,98,24.5,55,0
Antonio Harmon,MSST,TE,14,98,7.0,21,1
Marcus Burke,FLA,WR,6,98,16.3,37,0
Michael Hetzel,APP,WR,10,98,9.8,22,1
Houston Thomas,UTSA,TE,8,98,12.3,26,0
JR Wilson,UVA,WR,10,98,9.8,32,0
Lee Beebe,UAB,RB,14,98,7.0,26,0
Marcus Bellon,UTEP,WR,10,97,9.7,20,0
Kevin Green Jr.,ARIZ,WR,8,97,12.1,26,0
Andy Jean,FLA,WR,6,97,16.2,32,0
Kanye Roberts,APP,RB,11,97,8.8,18,0
Jacob Fields,LT,DB,12,97,8.1,20,0
Cole Cavallo,USM,TE,9,96,10.7,17,0
Riley Sharp,ORST,TE,6,96,16.0,28,2
Alex Brown,WYO,WR,7,96,13.7,28,0
Anwar Lewis,JVST,RB,11,96,8.7,19,0
Stacy Sneed,HOU,RB,13,95,7.3,58,1
Rayshon Luke,ARIZ,RB,4,95,23.8,66,0
Mike O'Laughlin,HOU,TE,12,94,7.8,18,0
Jack Bradley,RICE,TE,8,94,11.8,41,1
Omari Evans,PSU,WR,4,94,23.5,60,1
Suderian Harrison,UVA,WR,9,94,10.4,23,0
Drake Anderson,AKR,RB,17,93,5.5,15,1
Mershawn Rice,PUR,WR,4,93,23.3,43,0
Jordan James,ORE,RB,13,93,7.2,22,1
Steven Stilianos,IOWA,TE,7,92,13.1,37,0
Malachi Holt-Bennett,UAB,WR,5,92,18.4,37,1
Cash Jones,UGA,RB,11,92,8.4,27,1
Chuuky Hines,HAW,WR,9,92,10.2,19,1
Tobi Olawole,ARMY,WR,6,92,15.3,43,0
Tim Grear Jr.,FRES,WR,7,92,13.1,31,1
Ryan Montgomery,CIN,RB,11,91,8.3,25,2
Caleb Rillos,AFA,TE,7,91,13.0,35,0
Marcus Sanders Jr.,GASO,WR,6,91,15.2,30,1
Jeffery Pittman,MSST,RB,13,91,7.0,29,2
Arian Smith,UGA,WR,6,90,15.0,37,1
David Larkins,APP,TE,11,90,8.2,23,3
Armani Winfield,BAY,WR,7,90,12.9,29,0
Kye Robichaux,BC,RB,13,90,6.9,45,0
Tyquan Henderson,USM,WR,9,90,10.0,18,1
Samson Evans,EMU,RB,12,89,7.4,17,0
Thomas Yassmin,UTAH,TE,8,89,11.1,41,1
Brenden Bates,UK,TE,4,89,22.3,33,0
Oscar Adaway III,UNT,RB,14,89,6.4,15,0
Darion Williamson,FSU,WR,7,89,12.7,23,1
