Player,School,POS,ATT,YDS,AVG,LNG,TD
Kaden Feagin,ILL,RB,95,438,4.6,25,2
Kanye Udoh,ARMY,RB,86,436,5.1,23,1
Aaron Bedgood,LIB,WR,50,435,8.7,49,3
Owen Burk,AFA,RB,79,431,5.5,39,3
Rodrigues Clark,USM,RB,76,429,5.6,59,2
Myles Montgomery,CIN,RB,66,428,6.5,63,3
Donovan Smith,HOU,QB,138,428,3.1,35,6
Jaiden Credle,MTSU,RB,90,427,4.7,71,2
Austin Jones,USC,RB,74,417,5.6,37,7
Kaleb Johnson,IOWA,RB,104,415,4.0,67,3
Bill Jackson,TLSA,RB,91,414,4.5,38,1
Anthony Grant,NEB,RB,104,413,4.0,34,3
Kobe Lewis,FAU,RB,85,412,4.8,75,3
Darvon Hubbard,TEM,RB,82,412,5.0,49,3
Emmett Johnson,NEB,RB,90,411,4.6,29,2
OJ Arnold,GASO,RB,70,405,5.8,39,4
Andrew Peasley,WYO,QB,101,403,4.0,43,7
Robert Briggs Jr.,USU,RB,77,401,5.2,58,2
Nicholas Vattiato,MTSU,QB,139,397,2.9,30,2
Perris Jones,UVA,RB,76,393,5.2,43,2
Camar Wheaton,SMU,RB,76,393,5.2,48,5
John Gentry,SHSU,RB,119,391,3.3,28,3
Ta'ron Keith,BGSU,RB,66,390,5.9,40,4
Vann Schield,CSU,RB,90,389,4.3,52,3
Kobe Pace,UVA,RB,125,382,3.1,22,1
Braydon Bennett,CCU,RB,86,381,4.4,21,5
Kentrel Bullock,USA,RB,77,380,4.9,34,3
Kenan Christon,SDSU,RB,96,378,3.9,39,0
Jaxson Dart,MISS,QB,111,377,3.4,68,7
Elijah Gilliam,FRES,RB,92,376,4.1,24,5
Dillon Gabriel,OU,QB,93,373,4.0,44,12
Chip Trayanum,OSU,RB,85,373,4.4,40,3
Sedrick Alexander,VAN,RB,96,371,3.9,27,4
C'Bo Flemister,PITT,RB,98,367,3.7,38,2
Jase Bauer,CMU,QB,121,366,3.0,29,10
Isaiah Ifanse,CAL,RB,70,365,5.2,26,7
Malachi Thomas,VT,RB,79,365,4.6,35,2
Will Howard,KSU,QB,80,364,4.6,70,9
Mike Washington,BUFF,RB,90,362,4.0,49,2
Lee Beebe,UAB,RB,52,360,6.9,66,4
Rueben Owens,TA&M,RB,94,359,3.8,28,3
Seth Davis,MSST,RB,59,356,6.0,46,1
Donovan Edwards,MICH,RB,105,354,3.4,22,3
Trent Howland,IU,RB,76,354,4.7,19,2
Riley Leonard,DUKE,QB,58,352,6.1,44,4
Michel Dukes,USF,RB,63,350,5.6,30,2
Ajay Allen,MIA,RB,67,350,5.2,30,5
Andrew Henry,UNM,RB,52,350,6.7,64,3
Taylen Green,BOIS,QB,70,346,4.9,21,7
Jeremiyah Love,ND,RB,56,346,6.2,36,1
Lawrance Toafili,FSU,RB,59,345,5.8,50,3
DJ Williams,ARIZ,RB,79,345,4.4,17,4
Cartevious Norton,ISU,RB,87,343,3.9,49,3
Ron Wiggins,JVST,RB,65,342,5.3,37,5
Dawson Pendergrass,BAY,RB,79,338,4.3,31,5
Josh Henderson,IU,RB,81,337,4.2,29,2
Jambres Dubar,BOIS,RB,62,335,5.4,24,2
Justin Lamson,STAN,QB,120,334,2.8,49,5
Jaylen Raynor,ARST,QB,110,331,3.0,62,5
Ryan Montgomery,CIN,RB,54,329,6.1,29,1
Terron Kellman,CLT,RB,82,328,4.0,18,1
Devon Dampier,UNM,QB,59,328,5.6,37,4
Patrick Smith,VAN,RB,79,327,4.1,40,2
Joquez Smith,TEM,RB,72,325,4.5,51,1
Mike Wright,MSST,QB,71,324,4.6,53,3
Frank Harris,UTSA,QB,86,323,3.8,40,4
Hahsaun Wilson,CLT,RB,54,322,6.0,34,3
Nakia Watson,WSU,RB,89,321,3.6,17,4
Michael Pratt,TULN,QB,88,321,3.6,26,4
Dylan Edwards,COLO,RB,76,321,4.2,34,1
Anthony Hankerson,COLO,RB,78,319,4.1,20,1
British Brooks,UNC,RB,71,318,4.5,29,2
Ethan Vasko,CCU,QB,46,318,6.9,75,2
Maquel Haywood,APP,RB,60,318,5.3,31,2
Nathaniel Peat,MIZ,RB,76,317,4.2,19,3
Sione Vaki,UTAH,S,42,317,7.5,72,2
Beau Pribula,PSU,QB,53,313,5.9,39,6
Juma Otoviano,RICE,RB,85,312,3.7,24,4
AJ Green,ARK,RB,67,312,4.7,55,2
Jordan McCloud,JMU,QB,92,311,3.4,47,8
Justin Marshall,CSU,RB,57,311,5.5,21,2
Markese Stepp,WKU,RB,69,310,4.5,56,3
Marcus Major,OU,RB,78,308,3.9,19,1
Chez Mellusi,WIS,RB,51,307,6.0,89,4
Damien Taylor,TROY,RB,61,307,5.0,45,1
Jamoni Jones,NMSU,RB,77,307,4.0,24,3
Tanner Mordecai,WIS,QB,77,306,4.0,19,4
Jaydon Blue,TEX,RB,46,306,6.7,69,2
Frank Peasant,MTSU,RB,81,306,3.8,37,4
Richard Reese,BAY,RB,66,306,4.6,28,2
Greg Desrosiers Jr.,MASS,RB,37,301,8.1,60,4
Ethan Payne,MRSH,RB,72,301,4.2,64,0
Joe Milton III,TENN,QB,78,299,3.8,81,7
Collin Schlee,UCLA,QB,35,298,8.5,57,3
Damari Alston,AUB,RB,55,297,5.4,56,2
